Rk,Unnamed: 1,Salary
1,Tobias Harris,"$37,633,050"
2,Joel Embiid,"$33,616,770"
3,James Harden,"$33,000,000"
4,P.J. Tucker,"$10,490,000"
5,De'Anthony Melton,"$8,250,000"
6,Furkan Korkmaz,"$5,000,000"
7,Danuel House,"$4,105,000"
8,Georges Niang,"$3,465,000"
9,Tyrese Maxey,"$2,726,880"
10,Montrezl Harrell,"$2,463,490"
11,Jaden Springer,"$2,125,200"
12,Shake Milton,"$1,997,718"
13,Jalen McDaniels,"$1,930,681"
14,Paul Reed,"$1,782,621"
15,Dewayne Dedmon,"$580,373"
16,Trevelin Queen,"$330,000"
17,Charles Bassey,"$74,742"
18,Michael Foster,
19,Saben Lee,
20,Louis King,
21,Mac McClung,
