Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,James Harden,33,11,11,427,8.9,22.5,0.393,3.8,10.1,0.378,5.0,12.4,0.406,0.478,5.9,6.8,0.873,0.7,7.6,8.4,11.2,2.5,0.5,4.3,3.4,27.4,111,112,
2,Tyrese Maxey,22,11,11,423,10.2,23.8,0.427,4.2,10.6,0.4,6.0,13.3,0.449,0.516,3.5,3.8,0.903,1.1,5.5,6.6,3.1,1.9,0.6,1.0,3.2,28.1,116,114,
3,Tobias Harris,30,11,11,392,9.4,18.0,0.522,2.0,5.5,0.366,7.4,12.5,0.591,0.578,1.7,2.0,0.867,2.3,8.4,10.7,2.4,0.9,0.8,1.1,3.8,22.5,123,115,
4,Joel Embiid,28,9,9,336,10.3,23.9,0.431,0.8,4.4,0.179,9.5,19.5,0.488,0.448,11.9,13.1,0.905,2.5,11.3,13.8,3.8,0.9,3.9,5.5,4.2,33.3,106,109,
5,P.J. Tucker,37,11,11,294,3.4,9.1,0.373,2.5,7.1,0.35,0.9,2.0,0.455,0.51,0.4,0.5,0.667,3.2,5.7,8.9,2.9,2.3,0.5,0.9,5.0,9.6,119,113,
6,De'Anthony Melton,24,11,0,274,5.9,15.5,0.383,3.6,9.4,0.388,2.3,6.1,0.375,0.5,1.2,1.5,0.75,2.7,4.2,6.9,3.5,2.5,1.7,1.5,3.8,16.7,111,112,
7,Georges Niang,29,11,0,157,6.0,12.0,0.5,4.0,8.7,0.462,2.0,3.3,0.6,0.667,0.0,0.0,,0.0,1.3,1.3,0.7,0.0,0.7,1.7,5.4,16.1,114,120,
8,Paul Reed,23,11,2,157,7.4,12.7,0.579,0.0,0.0,,7.4,12.7,0.579,0.579,2.3,2.3,1.0,9.0,11.0,20.1,2.3,2.0,1.3,2.0,5.0,17.1,134,110,
9,Jalen McDaniels,25,8,0,102,4.1,10.3,0.4,1.5,4.6,0.333,2.6,5.7,0.455,0.475,0.0,0.0,,1.5,6.7,8.2,2.6,0.5,0.0,1.5,4.1,9.8,99,118,
10,Danuel House Jr.,29,7,0,42,11.3,26.3,0.429,1.3,12.5,0.1,10.0,13.8,0.727,0.452,1.3,1.3,1.0,0.0,15.0,15.0,1.3,0.0,0.0,1.3,5.0,25.0,93,115,
11,Shake Milton,26,6,0,21,7.5,12.5,0.6,0.0,2.5,0.0,7.5,10.0,0.75,0.6,5.0,5.0,1.0,0.0,7.5,7.5,5.0,5.0,0.0,2.5,7.5,20.0,127,107,
12,Jaden Springer,20,4,0,17,12.4,12.4,1.0,0.0,0.0,,12.4,12.4,1.0,1.0,3.1,6.2,0.5,0.0,0.0,0.0,0.0,3.1,0.0,3.1,6.2,27.8,137,115,
13,Furkan Korkmaz,25,3,0,11,0.0,9.6,0.0,0.0,4.8,0.0,0.0,4.8,0.0,0.0,9.6,9.6,1.0,0.0,4.8,4.8,4.8,0.0,0.0,4.8,0.0,9.6,69,120,
14,Montrezl Harrell,29,2,0,7,0.0,22.5,0.0,0.0,0.0,,0.0,22.5,0.0,0.0,0.0,0.0,,0.0,7.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0,119,
15,Dewayne Dedmon,33,1,0,5,0.0,10.5,0.0,0.0,10.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,10.5,10.5,0.0,0.0,0.0,10.5,10.5,0.0,0,117,
