Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Charles Bassey,21.0,C,3,0,12,0.5,0.5,,0.5,0.0,0.41,0.5,0.0,108.0,94.0,,94.0,0.0,72.0,201.0,0.0,
2.0,Joel Embiid,27.0,C,10,10,385,0.484,0.555,0.212,0.506,0.82,0.59,0.553,0.205,105.0,104.0,60.0,95.0,106.0,104.0,223.0,51.0,
3.0,Danny Green,34.0,SF,12,12,319,0.404,0.385,0.408,0.579,0.0,0.576,0.011,0.854,88.0,72.0,115.0,109.0,0.0,102.0,5.0,214.0,
4.0,James Harden,32.0,PG,12,12,479,0.405,0.439,0.368,0.494,0.893,0.584,0.475,0.481,88.0,82.0,104.0,93.0,115.0,103.0,191.0,120.0,
5.0,Tobias Harris,29.0,PF,12,12,466,0.5,0.562,0.386,0.568,0.864,0.591,0.136,0.352,108.0,106.0,109.0,107.0,111.0,104.0,55.0,88.0,
6.0,Isaiah Joe,22.0,SG,7,0,15,0.4,0.5,0.333,0.5,,0.5,0.0,0.6,87.0,94.0,94.0,94.0,,88.0,0.0,150.0,
7.0,DeAndre Jordan,33.0,C,3,2,31,1.0,1.0,,1.0,,1.0,0.0,0.0,217.0,188.0,,188.0,,177.0,0.0,0.0,
8.0,Furkan Korkmaz,24.0,SG,9,0,61,0.478,0.538,0.4,0.565,1.0,0.586,0.087,0.435,104.0,101.0,113.0,106.0,129.0,104.0,35.0,109.0,
9.0,Tyrese Maxey,21.0,PG,12,12,485,0.484,0.549,0.377,0.555,0.94,0.61,0.275,0.379,105.0,103.0,107.0,104.0,121.0,108.0,111.0,95.0,
10.0,Paul Millsap,36.0,C,1,0,6,,,,,,,,,,,,,,,,,
11.0,Shake Milton,25.0,SG,12,0,158,0.474,0.435,0.533,0.579,0.8,0.641,0.526,0.395,103.0,82.0,151.0,109.0,103.0,113.0,212.0,99.0,
12.0,Georges Niang,28.0,PF,12,0,198,0.417,0.8,0.372,0.583,1.0,0.593,0.042,0.896,90.0,150.0,105.0,110.0,129.0,105.0,17.0,224.0,
13.0,Paul Reed,22.0,C,12,0,140,0.528,0.515,0.667,0.556,0.571,0.563,0.194,0.083,114.0,97.0,189.0,104.0,74.0,99.0,78.0,21.0,
14.0,Jaden Springer,19.0,SG,5,0,13,0.5,0.6,0.0,0.5,,0.5,0.0,0.167,108.0,113.0,0.0,94.0,,88.0,0.0,42.0,
15.0,Matisse Thybulle,24.0,SG,9,0,137,0.458,0.7,0.286,0.542,0.333,0.533,0.125,0.583,99.0,131.0,81.0,102.0,43.0,94.0,50.0,146.0,
,Team Totals,,,12,12,2905,0.465,0.534,0.373,0.545,0.849,0.592,0.29,0.426,101.0,100.0,105.0,102.0,110.0,105.0,117.0,107.0,
