Rk,Unnamed: 1,Salary
1,John Wall,"$41,254,920"
2,Eric Gordon,"$16,869,276"
3,Christian Wood,"$13,015,874"
4,Kelly Olynyk,"$12,819,649"
5,Dante Exum,"$9,600,000"
6,D.J. Augustin,"$6,666,667"
7,Avery Bradley,"$5,635,000"
8,D.J. Wilson,"$4,548,280"
9,Danuel House,"$3,717,000"
10,Ben McLemore,"$2,283,034"
11,David Nwaba,"$1,824,003"
12,Kevin Porter,"$1,717,981"
13,Sterling Brown,"$1,620,564"
14,DeMarcus Cousins,"$1,620,564"
15,Chris Clemons,"$1,517,981"
16,Jae'Sean Tate,"$1,445,967"
17,Kenyon Martin,"$898,310"
18,Bruno Caboclo,"$361,256"
19,Khyri Thomas,"$360,998"
20,Troy Williams,"$122,741"
21,Mason Jones,"$61,528"
22,Jerian Grant,"$50,000"
23,Cameron Oliver,"$43,070"
24,Cameron Reynolds,"$33,299"
25,Justin Patton,$0
26,Anthony Lamb,$0
27,Armoni Brooks,$0
