Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Deni Avdija,21.0,SF,82,8,1984,0.432,0.525,0.317,0.503,0.757,0.536,0.235,0.447,94.0,99.0,90.0,95.0,98.0,95.0,95.0,112.0,-33.7,-38.2,
2.0,Joel Ayayi,21.0,SG,7,0,20,0.167,0.2,0.0,0.167,,0.167,0.0,0.167,36.0,38.0,0.0,31.0,,29.0,0.0,42.0,-4.4,-4.8,
3.0,Bradley Beal,28.0,SG,40,40,1439,0.451,0.508,0.3,0.492,0.833,0.539,0.263,0.272,98.0,95.0,85.0,93.0,107.0,95.0,106.0,68.0,-60.9,-45.9,
4.0,Dāvis Bertāns,29.0,PF,34,0,501,0.351,0.519,0.319,0.485,0.933,0.527,0.175,0.842,76.0,97.0,90.0,91.0,120.0,93.0,71.0,211.0,-15.8,-14.5,
5.0,Thomas Bryant,24.0,C,27,9,439,0.52,0.613,0.286,0.561,0.875,0.607,0.27,0.284,113.0,115.0,81.0,105.0,113.0,107.0,109.0,71.0,8.6,13.5,
6.0,Kentavious Caldwell-Pope,28.0,SG,77,77,2329,0.435,0.48,0.39,0.531,0.89,0.568,0.186,0.492,94.0,90.0,110.0,100.0,115.0,100.0,75.0,123.0,-0.5,2.9,
7.0,Vernon Carey Jr.,20.0,C,3,0,27,0.571,0.571,,0.571,0.4,0.526,1.429,0.0,124.0,107.0,,107.0,52.0,93.0,576.0,0.0,0.6,-0.9,
8.0,Spencer Dinwiddie,28.0,PG,44,44,1330,0.376,0.432,0.31,0.447,0.811,0.501,0.291,0.459,82.0,81.0,88.0,84.0,105.0,89.0,117.0,115.0,-83.2,-72.2,
9.0,Jaime Echenique,24.0,C,1,0,3,,,,,,,,,,,,,,,,,0.0,0.0,
10.0,Daniel Gafford,23.0,C,72,53,1444,0.693,0.695,0.0,0.693,0.699,0.708,0.372,0.002,150.0,131.0,0.0,130.0,90.0,125.0,150.0,1.0,133.0,135.5,
11.0,Anthony Gill,29.0,PF,44,0,463,0.569,0.578,0.538,0.633,0.808,0.682,0.477,0.239,123.0,109.0,152.0,119.0,104.0,121.0,192.0,60.0,22.1,30.7,
12.0,Jordan Goodwin,23.0,SG,2,0,6,0.0,0.0,0.0,0.0,,0.0,0.0,0.333,0.0,0.0,0.0,0.0,,0.0,0.0,83.0,-3.2,-3.4,
13.0,Rui Hachimura,23.0,PF,42,13,943,0.491,0.512,0.447,0.563,0.697,0.579,0.173,0.323,106.0,96.0,126.0,106.0,90.0,102.0,70.0,81.0,23.9,10.8,
14.0,Montrezl Harrell,28.0,C,46,3,1117,0.645,0.66,0.267,0.65,0.727,0.684,0.535,0.039,140.0,124.0,75.0,122.0,94.0,121.0,216.0,10.0,90.7,111.3,6MOY-9
15.0,Aaron Holiday,25.0,PG,41,14,663,0.467,0.524,0.343,0.521,0.8,0.547,0.164,0.313,101.0,98.0,97.0,98.0,103.0,97.0,66.0,78.0,-4.6,-8.7,
16.0,Alize Johnson,25.0,PF,3,0,18,0.333,0.5,0.0,0.333,0.0,0.311,0.167,0.333,72.0,94.0,0.0,63.0,0.0,55.0,67.0,83.0,-2.4,-3.3,
17.0,Corey Kispert,22.0,SF,77,36,1801,0.455,0.629,0.35,0.564,0.871,0.586,0.121,0.623,99.0,118.0,99.0,106.0,112.0,103.0,49.0,156.0,33.4,21.3,
18.0,Kyle Kuzma,26.0,PF,66,66,2204,0.452,0.526,0.341,0.52,0.712,0.547,0.234,0.401,98.0,99.0,97.0,98.0,92.0,97.0,94.0,100.0,-21.3,-38.6,
19.0,Greg Monroe,31.0,C,2,0,18,0.5,0.5,,0.5,,0.5,0.0,0.0,108.0,94.0,,94.0,,88.0,0.0,0.0,-0.5,-1.1,
20.0,Raul Neto,29.0,PG,70,19,1372,0.463,0.526,0.292,0.502,0.769,0.538,0.245,0.272,100.0,99.0,82.0,94.0,99.0,95.0,99.0,68.0,-26.0,-27.0,
21.0,Kristaps Porziņģis,26.0,PF,17,17,479,0.475,0.522,0.367,0.531,0.871,0.606,0.448,0.305,103.0,98.0,104.0,100.0,112.0,107.0,180.0,76.0,-0.4,25.0,
22.0,Tomáš Satoranský,30.0,PG,22,10,416,0.476,0.548,0.273,0.512,0.84,0.563,0.298,0.262,103.0,103.0,77.0,96.0,108.0,99.0,120.0,66.0,-3.3,-0.5,
23.0,Jordan Schakel,23.0,SG,4,0,30,0.091,0.0,0.167,0.136,1.0,0.21,0.182,0.545,20.0,0.0,47.0,26.0,129.0,37.0,73.0,137.0,-8.7,-8.4,
24.0,Ish Smith,33.0,PG,28,0,615,0.457,0.478,0.357,0.488,0.6,0.489,0.02,0.171,99.0,90.0,101.0,92.0,77.0,86.0,8.0,43.0,-21.5,-37.8,
25.0,Craig Sword,28.0,SG,3,0,19,0.75,1.0,0.0,0.75,,0.75,0.0,0.25,163.0,188.0,0.0,141.0,,133.0,0.0,63.0,1.7,1.5,
26.0,Isaiah Todd,20.0,PF,12,0,74,0.269,0.3,0.25,0.346,0.333,0.349,0.231,0.615,58.0,56.0,71.0,65.0,43.0,62.0,93.0,154.0,-9.6,-12.4,
27.0,Brad Wanamaker,32.0,PG,1,1,27,0.4,0.4,,0.4,1.0,0.554,0.6,0.0,87.0,75.0,,75.0,129.0,98.0,242.0,0.0,-1.3,-0.2,
28.0,Tremont Waters,24.0,PG,1,0,8,0.5,0.5,,0.5,,0.5,0.0,0.0,108.0,94.0,,94.0,,88.0,0.0,0.0,-0.1,-0.3,
29.0,Cassius Winston,23.0,PG,7,0,39,0.364,0.4,0.333,0.455,1.0,0.549,0.364,0.545,79.0,75.0,94.0,85.0,129.0,97.0,147.0,137.0,-1.7,-0.4,
,Team Totals,,,82,82,19828,0.472,0.543,0.342,0.532,0.783,0.568,0.252,0.356,102.0,102.0,97.0,100.0,101.0,100.0,102.0,89.0,10.9,33.9,
