Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Kentavious Caldwell-Pope,28,SG,77,77,2329,5.6,12.8,0.435,2.5,6.3,0.39,3.1,6.5,0.48,0.531,2.1,2.4,0.89,0.6,3.4,4.0,2.2,1.3,0.4,1.5,2.1,15.7,
2,Kyle Kuzma,26,PF,66,66,2204,6.9,15.3,0.452,2.1,6.1,0.341,4.8,9.2,0.526,0.52,2.5,3.6,0.712,1.1,8.0,9.2,3.8,0.7,0.9,2.8,2.1,18.5,
3,Deni Avdija,21,SF,82,8,1984,4.5,10.5,0.432,1.5,4.7,0.317,3.0,5.8,0.525,0.503,1.9,2.5,0.757,0.9,6.8,7.7,3.0,1.1,0.8,1.6,3.4,12.4,
4,Corey Kispert,22,SF,77,36,1801,4.7,10.3,0.455,2.2,6.4,0.35,2.4,3.9,0.629,0.564,1.1,1.2,0.871,1.1,3.1,4.2,1.7,0.7,0.4,1.0,1.9,12.7,
5,Daniel Gafford,23,C,72,53,1444,7.1,10.2,0.693,0.0,0.0,0.0,7.1,10.2,0.695,0.693,2.7,3.8,0.699,3.9,6.3,10.1,1.7,0.7,2.5,1.6,4.2,16.9,
6,Bradley Beal,28,SG,40,40,1439,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2,
7,Raul Neto,29,PG,70,19,1372,5.4,11.6,0.463,0.9,3.1,0.292,4.4,8.4,0.526,0.502,2.2,2.8,0.769,0.3,3.2,3.5,5.7,1.4,0.1,2.1,2.7,13.8,
8,Spencer Dinwiddie,28,PG,44,44,1330,5.0,13.3,0.376,1.9,6.1,0.31,3.1,7.2,0.432,0.447,3.1,3.9,0.811,1.0,4.6,5.6,6.9,0.7,0.2,2.0,2.9,15.0,
9,Montrezl Harrell,28,C,46,3,1117,8.0,12.3,0.645,0.1,0.5,0.267,7.8,11.9,0.66,0.65,4.8,6.6,0.727,3.1,6.9,10.0,3.1,0.6,1.0,1.6,2.8,20.9,6MOY-9
10,Rui Hachimura,23,PF,42,13,943,7.1,14.5,0.491,2.1,4.7,0.447,5.0,9.8,0.512,0.563,1.8,2.5,0.697,1.0,5.2,6.1,1.8,0.9,0.3,1.3,2.0,18.1,
11,Aaron Holiday,25,PG,41,14,663,5.4,11.6,0.467,1.2,3.6,0.343,4.2,8.0,0.524,0.521,1.5,1.9,0.8,0.5,3.1,3.6,4.2,1.3,0.5,2.1,3.3,13.6,
12,Ish Smith,33,PG,28,0,615,6.6,14.3,0.457,0.9,2.5,0.357,5.7,11.9,0.478,0.488,0.2,0.3,0.6,0.8,4.0,4.9,8.5,1.6,0.8,2.5,2.6,14.2,
13,Dāvis Bertāns,29,PF,34,0,501,4.3,12.3,0.351,3.3,10.3,0.319,1.0,1.9,0.519,0.485,2.0,2.2,0.933,0.4,4.0,4.4,1.1,0.8,0.4,1.0,4.0,13.9,
14,Kristaps Porziņģis,26,PF,17,17,479,9.2,19.5,0.475,2.2,5.9,0.367,7.1,13.5,0.522,0.531,7.6,8.7,0.871,2.9,8.4,11.3,3.8,0.9,1.9,2.1,3.7,28.3,
15,Anthony Gill,29,PF,44,0,463,4.8,8.5,0.569,1.1,2.0,0.538,3.7,6.5,0.578,0.633,3.3,4.0,0.808,2.6,4.0,6.6,2.1,0.4,0.9,1.4,4.5,14.0,
16,Thomas Bryant,24,C,27,9,439,6.3,12.1,0.52,1.0,3.4,0.286,5.3,8.7,0.613,0.561,2.9,3.3,0.875,2.1,6.7,8.9,1.9,0.5,1.7,1.6,3.5,16.5,
17,Tomáš Satoranský,30,PG,22,10,416,3.5,7.3,0.476,0.5,1.9,0.273,2.9,5.4,0.548,0.512,1.8,2.2,0.84,0.8,4.5,5.3,9.3,1.3,0.3,2.0,3.3,9.3,
18,Isaiah Todd,20,PF,12,0,74,3.4,12.6,0.269,1.9,7.8,0.25,1.5,4.9,0.3,0.346,1.0,2.9,0.333,1.5,4.4,5.8,1.9,1.9,1.0,1.9,1.9,9.7,
19,Cassius Winston,23,PG,7,0,39,3.7,10.2,0.364,1.8,5.5,0.333,1.8,4.6,0.4,0.455,3.7,3.7,1.0,0.0,0.9,0.9,6.5,0.0,0.0,2.8,8.3,12.9,
20,Jordan Schakel,23,SG,4,0,30,1.2,13.2,0.091,1.2,7.2,0.167,0.0,6.0,0.0,0.136,2.4,2.4,1.0,2.4,7.2,9.6,0.0,1.2,0.0,1.2,0.0,6.0,
21,Vernon Carey Jr.,20,C,3,0,27,5.3,9.3,0.571,0.0,0.0,,5.3,9.3,0.571,0.571,5.3,13.3,0.4,6.7,2.7,9.3,0.0,1.3,1.3,2.7,4.0,16.0,
22,Brad Wanamaker,32,PG,1,1,27,2.7,6.7,0.4,0.0,0.0,,2.7,6.7,0.4,0.4,4.0,4.0,1.0,0.0,5.3,5.3,9.3,2.7,0.0,0.0,4.0,9.3,
23,Joel Ayayi,21,SG,7,0,20,1.8,10.8,0.167,0.0,1.8,0.0,1.8,9.0,0.2,0.167,0.0,0.0,,1.8,3.6,5.4,7.2,0.0,0.0,0.0,0.0,3.6,
