Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Khris Middleton,29,23,23,922,10.6,24.3,0.438,3.2,9.4,0.343,7.4,14.9,0.498,0.504,4.6,5.2,0.887,1.3,8.0,9.4,6.3,1.9,0.2,4.0,3.1,29.1,109,108,
2,Jrue Holiday,30,23,23,912,8.6,21.1,0.406,2.3,7.7,0.303,6.2,13.4,0.466,0.461,2.2,3.0,0.714,1.7,5.4,7.2,10.8,2.1,0.5,3.0,2.6,21.7,110,108,
3,Giannis Antetokounmpo,26,21,21,800,15.5,27.2,0.569,0.8,4.3,0.186,14.7,22.9,0.642,0.584,7.5,12.8,0.587,3.7,13.0,16.7,6.7,1.3,1.5,4.0,3.8,39.3,119,105,Finals MVP-1
4,P.J. Tucker,35,23,19,681,2.8,7.1,0.388,1.4,4.3,0.322,1.4,2.8,0.487,0.485,0.2,0.3,0.75,3.5,4.6,8.1,1.8,1.6,0.2,0.7,5.6,7.1,119,110,
5,Brook Lopez,32,23,23,667,8.8,16.1,0.548,1.7,5.3,0.319,7.1,10.8,0.662,0.601,2.7,3.2,0.86,3.6,6.5,10.0,0.4,1.3,2.5,1.9,3.6,22.1,123,107,
6,Pat Connaughton,28,23,1,546,5.0,10.8,0.462,3.4,8.6,0.389,1.6,2.2,0.75,0.618,1.0,1.2,0.846,2.6,6.5,9.2,1.8,0.9,0.5,1.1,3.4,14.3,130,110,
7,Bobby Portis,25,20,2,366,9.5,20.4,0.464,2.4,7.0,0.346,7.0,13.4,0.525,0.523,2.4,3.4,0.72,4.5,9.1,13.5,1.6,1.9,0.9,1.2,4.2,23.8,118,106,
8,Bryn Forbes,27,20,0,273,8.4,20.3,0.411,6.0,16.2,0.371,2.4,4.2,0.565,0.558,1.1,1.5,0.75,0.4,4.7,5.1,1.1,0.4,0.4,1.3,2.9,23.8,113,113,
9,Jeff Teague,32,16,0,119,3.7,12.9,0.29,2.1,4.6,0.455,1.7,8.3,0.2,0.371,3.7,4.6,0.818,0.8,2.5,3.3,5.4,1.2,0.0,2.5,3.7,13.3,98,112,
10,Donte DiVincenzo,24,3,3,70,2.1,11.3,0.188,1.4,8.5,0.167,0.7,2.8,0.25,0.25,0.0,0.0,,1.4,12.0,13.5,5.7,2.1,0.7,4.2,2.8,5.7,63,105,
11,Elijah Bryant,25,11,0,50,6.9,19.8,0.35,0.0,7.9,0.0,6.9,11.9,0.583,0.35,0.0,0.0,,2.0,9.9,11.9,4.0,2.0,1.0,2.0,1.0,13.9,82,106,
12,Thanasis Antetokounmpo,28,13,0,45,2.2,7.7,0.286,0.0,0.0,,2.2,7.7,0.286,0.286,5.5,6.6,0.833,3.3,7.7,11.0,3.3,5.5,2.2,3.3,13.2,9.9,97,97,
13,Mamadi Diakite,24,7,0,35,2.8,14.2,0.2,1.4,2.8,0.5,1.4,11.3,0.125,0.25,2.8,2.8,1.0,1.4,8.5,9.9,0.0,4.2,1.4,1.4,9.9,9.9,72,100,
14,Jordan Nwora,22,5,0,31,6.4,28.8,0.222,3.2,12.8,0.25,3.2,16.0,0.2,0.278,8.0,11.2,0.714,8.0,6.4,14.4,1.6,0.0,1.6,1.6,1.6,24.0,91,111,
15,Sam Merrill,24,8,0,30,3.3,11.6,0.286,1.7,8.3,0.2,1.7,3.3,0.5,0.357,0.0,0.0,,1.7,6.6,8.3,1.7,6.6,0.0,1.7,3.3,8.3,80,98,
16,Justin Jackson,25,5,0,15,9.9,16.5,0.6,0.0,6.6,0.0,9.9,9.9,1.0,0.6,0.0,0.0,,3.3,3.3,6.6,3.3,3.3,0.0,3.3,0.0,19.8,110,107,
17,Axel Toupane,28,4,0,10,9.9,19.8,0.5,5.0,9.9,0.5,5.0,9.9,0.5,0.625,0.0,0.0,,9.9,9.9,19.8,0.0,0.0,0.0,0.0,0.0,24.8,143,112,
