Rk,Unnamed: 1,Salary
1,Khris Middleton,"$33,051,724"
2,Giannis Antetokounmpo,"$27,528,088"
3,Jrue Holiday,"$25,876,111"
4,Brook Lopez,"$12,697,675"
5,P.J. Tucker,"$7,969,537"
6,Pat Connaughton,"$4,938,273"
7,Bobby Portis,"$3,623,000"
8,Jon Leuer,"$3,169,348"
9,Donte DiVincenzo,"$3,044,160"
10,Bryn Forbes,"$2,337,145"
11,Larry Sanders,"$1,865,546"
12,Rodions Kurucs,"$1,780,152"
13,Thanasis Antetokounmpo,"$1,701,593"
14,Sam Merrill,"$898,310"
15,Jordan Nwora,"$898,310"
16,Jeff Teague,"$510,589"
17,Mamadi Diakite,"$160,173"
18,Elijah Bryant,"$24,611"
19,Justin Jackson,$0
20,Axel Toupane,$0
