Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Jalen Green,20,76,76,2602,10.5,25.3,0.416,3.5,10.3,0.338,7.1,15.0,0.471,0.485,6.8,8.6,0.786,0.8,4.5,5.3,5.2,1.1,0.3,3.7,2.4,31.4,109,122,
2,Jabari Smith Jr.,19,79,79,2451,7.2,17.6,0.408,2.4,7.7,0.307,4.8,9.9,0.487,0.475,3.2,4.1,0.786,2.4,8.8,11.3,2.0,0.9,1.5,2.1,4.5,20.0,108,119,
3,KJ Martin,22,82,49,2292,8.7,15.2,0.569,1.4,4.6,0.315,7.2,10.7,0.679,0.617,3.2,4.7,0.68,2.7,6.9,9.6,2.6,0.9,0.6,1.9,3.1,22.0,126,121,
4,Alperen Şengün,20,75,72,2171,9.9,17.8,0.553,0.4,1.3,0.333,9.4,16.6,0.57,0.565,4.6,6.4,0.715,5.4,9.7,15.1,6.5,1.6,1.6,4.3,5.8,24.8,118,117,
5,Kevin Porter Jr.,22,59,59,2024,9.4,21.2,0.442,3.4,9.2,0.366,6.0,12.0,0.501,0.522,5.0,6.3,0.784,1.8,5.7,7.5,8.1,2.0,0.4,4.5,3.7,27.1,112,120,
6,Tari Eason,21,82,5,1767,8.1,18.1,0.448,1.6,4.7,0.343,6.5,13.4,0.486,0.493,3.0,4.0,0.752,5.3,8.3,13.6,2.4,2.6,1.3,2.8,5.2,20.9,110,115,
7,Eric Gordon,34,47,47,1418,7.2,16.3,0.439,2.9,8.4,0.347,4.3,8.0,0.536,0.528,3.8,4.6,0.815,0.4,2.9,3.3,4.6,1.0,0.6,2.8,1.5,21.0,113,123,
8,Usman Garuba,20,75,1,970,4.3,8.8,0.486,1.2,2.9,0.407,3.1,5.9,0.525,0.554,1.4,2.3,0.617,6.0,9.3,15.3,3.2,2.2,1.4,2.3,6.7,11.2,119,115,
9,Daishen Nix,20,57,7,914,4.3,12.6,0.342,2.1,7.4,0.286,2.2,5.1,0.423,0.426,1.3,1.9,0.667,1.0,4.2,5.2,7.0,1.6,0.4,4.6,3.1,12.0,88,121,
10,Josh Christopher,21,64,2,786,9.4,20.3,0.465,1.3,5.5,0.236,8.1,14.8,0.55,0.497,2.8,3.7,0.75,1.2,3.1,4.4,4.5,2.0,0.9,3.7,3.6,22.9,102,120,
11,Jae'Sean Tate,27,31,7,677,7.9,16.4,0.48,0.9,3.3,0.283,6.9,13.1,0.53,0.509,3.6,4.9,0.725,2.9,5.5,8.4,6.0,1.5,0.5,3.4,7.6,20.3,111,120,
12,Garrison Mathews,26,45,0,602,4.8,13.7,0.353,4.3,12.5,0.342,0.6,1.2,0.467,0.509,3.3,3.6,0.911,0.8,4.2,5.0,1.9,1.9,0.3,1.4,4.5,17.2,117,121,
13,TyTy Washington Jr.,21,31,2,433,6.5,17.9,0.363,2.1,9.0,0.238,4.4,9.0,0.488,0.422,1.1,2.0,0.556,0.2,4.8,5.0,5.3,1.7,0.2,1.6,3.2,16.2,99,121,
14,Bruno Fernando,24,31,4,364,6.4,12.4,0.516,0.0,0.1,0.0,6.4,12.3,0.522,0.516,4.0,5.9,0.682,6.4,9.9,16.2,4.0,0.8,4.1,2.7,9.1,16.8,119,115,
15,Boban Marjanović,34,31,0,171,11.6,17.0,0.683,0.0,0.3,0.0,11.6,16.7,0.695,0.683,5.7,7.7,0.741,5.7,11.3,17.0,2.6,1.4,0.6,4.0,2.8,28.9,127,117,
16,Frank Kaminsky,29,10,0,59,4.9,15.6,0.316,1.6,8.2,0.2,3.3,7.4,0.444,0.368,3.3,3.3,1.0,3.3,9.9,13.1,9.0,0.8,2.5,0.0,0.8,14.8,126,117,
17,Trevor Hudgins,23,5,0,28,3.5,15.6,0.222,3.5,13.9,0.25,0.0,1.7,0.0,0.333,5.2,5.2,1.0,0.0,0.0,0.0,5.2,0.0,0.0,1.7,1.7,15.6,103,128,
18,Darius Days,23,4,0,25,9.7,23.3,0.417,5.8,19.4,0.3,3.9,3.9,1.0,0.542,3.9,3.9,1.0,1.9,9.7,11.6,1.9,0.0,1.9,0.0,3.9,29.1,132,120,
