Rk,Unnamed: 1,Salary
1,John Wall,"$40,866,760"
2,Derrick Favors,"$10,183,800"
3,Danny Green,"$9,710,528"
4,Jalen Green,"$9,441,840"
5,Jabari Smith,"$8,882,640"
6,Jae'Sean Tate,"$7,065,217"
7,John Wall,"$6,479,000"
8,Justin Holiday,"$6,292,440"
9,Maurice Harkless,"$4,564,980"
10,Ty Jerome,"$4,220,057"
11,Boban Marjanović,"$3,500,000"
12,Alperen Şengün,"$3,375,360"
13,Tari Eason,"$3,359,160"
14,Kevin Porter,"$3,217,631"
15,Usman Garuba,"$2,471,160"
16,Josh Christopher,"$2,372,160"
17,TyTy Washington,"$2,210,040"
18,Théo Maledon,"$1,900,000"
19,Frank Kaminsky,"$1,836,090"
20,Kenyon Martin,"$1,782,621"
21,Daishen Nix,"$1,563,518"
22,Boban Marjanović,"$601,478"
23,D.J. Augustin,"$333,333"
24,D.J. Augustin,"$189,940"
25,Troy Williams,"$122,741"
26,Willie Cauley-Stein,"$105,522"
27,Willie Cauley-Stein,"$10,552"
28,Bruno Fernando,
29,Darius Days,
30,Trevor Hudgins,
