team,elo,rank
OKC,1855.5233645248136,1
MIN,1759.9071219759173,2
CLE,1747.6537540468448,3
BOS,1740.225662670022,4
IND,1731.2142711538645,5
LAC,1699.8480435416473,6
DEN,1694.4055985262326,7
GSW,1650.8024732930303,8
NYK,1647.698291473147,9
HOU,1638.482220519382,10
MIL,1599.8423406688403,11
LAL,1596.1941864652638,12
DET,1567.8919897234916,13
ORL,1550.6636752398879,14
CHI,1544.216940630722,15
MEM,1544.04438686809,16
POR,1535.004385068832,17
MIA,1515.082751246668,18
SAC,1507.8276413782346,19
ATL,1473.9626697517895,20
DAL,1453.5009196151193,21
PHO,1437.5946218353688,22
SAS,1422.1602824368806,23
TOR,1400.0145917056245,24
NOP,1296.4648316896448,25
BRK,1259.7699018467288,26
PHI,1248.9891222232425,27
UTA,1247.3268685363762,28
CHO,1195.0838615027635,29
WAS,1168.6032298415305,30
