player,elo,rank
Shai Gilgeous-Alexander,2000.0,1
Nikola Jokic,1999.6118175048778,2
Giannis Antetokounmpo,1999.587629327615,3
Luka Doncic,1997.1928204298158,4
Jayson Tatum,1988.533228057677,5
Stephen Curry,1917.0668617194717,6
Joel Embiid,1916.4181601799874,7
LeBron James,1880.700151520889,8
Anthony Edwards,1862.335800501097,9
Donovan Mitchell,1855.9161429764683,10
Kevin Durant,1855.535437081894,11
Tyrese Haliburton,1846.4284049453254,12
Kawhi Leonard,1837.6529554158703,13
Anthony Davis,1835.9867356833565,14
James Harden,1833.5588321199596,15
Damian Lillard,1810.3466044231811,16
Jalen Brunson,1804.6270914325705,17
Devin Booker,1800.469306747964,18
Kyrie Irving,1794.1590376939741,19
Victor Wembanyama,1793.1327720669922,20
