player,elo,rank
Dwight Powell,1515.7528342726225,143
Kris Dunn,1515.4905703345476,144
Marcus Smart,1515.3691034114113,145
Moritz Wagner,1515.1616665791462,146
CJ McCollum,1515.0872179382868,147
Jonas Valanciunas,1514.5347345137234,148
Clint Capela,1514.481581446737,149
John Konchar,1514.0398323603908,150
Jonathan Isaac,1513.7895753646471,151
Dyson Daniels,1513.6023679759664,152
Otto Porter Jr.,1513.4505414508515,153
Nickeil Alexander-Walker,1513.2117316434408,154
Malik Monk,1512.8228295931299,155
Seth Curry,1512.385575999334,156
Trey Murphy III,1512.3554895964583,157
Day'Ron Sharpe,1512.1632284338227,158
Mike Muscala,1511.958001629042,159
Gui Santos,1511.8390065734604,160
A.J. Green,1511.8118234797778,161
Neemias Queta,1511.7129050678961,162
Jalen Johnson,1511.6738515381287,163
Kevin Huerter,1511.4651241193196,164
Jay Huff,1511.2807720323317,165
Royce O'Neale,1511.0676267768802,166
Enes Freedom,1510.969017126885,167
Hassan Whiteside,1510.5540255391047,168
Mason Plumlee,1510.1380536415454,169
George Hill,1510.0212989577676,170
Deandre Ayton,1509.3622791334005,171
Terence Davis,1509.3439733452758,172
Jose Alvarado,1509.301616149469,173
JaVale McGee,1508.7286284248219,174
Ryan Rollins,1508.5639276547188,175
Santi Aldama,1508.444444319752,176
Thaddeus Young,1508.3981571309719,177
Dejounte Murray,1507.7614735595757,178
Kemba Walker,1507.7324812551244,179
Frank Kaminsky,1507.7023833636176,180
Craig Porter Jr.,1507.582342093435,181
Nemanja Bjelica,1507.5619615960468,182
Trayce Jackson-Davis,1507.282910862952,183
Marc Gasol,1506.8229844436355,184
Matisse Thybulle,1506.7485208921853,185
Isaiah Jackson,1506.544007933675,186
T.J. Warren,1506.5177230864324,187
Mouhamed Gueye,1506.459785249949,188
Danilo Gallinari,1506.38010245567,189
Moses Moody,1506.369622805835,190
Derrick Jones Jr.,1506.2618735082485,191
Walker Kessler,1505.9633006740087,192
Jaylon Tyson,1505.9239296308785,193
Serge Ibaka,1505.457986279829,194
Aaron Nesmith,1505.4469630054878,195
Herbert Jones,1505.4277226219726,196
Blake Griffin,1505.4244306258956,197
Joe Harris,1505.3401292942463,198
Christian Wood,1505.272367155851,199
Josh Minott,1505.2551462379313,200
Boban Marjanovic,1505.2290119841518,201
Kelly Olynyk,1505.2244283669497,202
Duncan Robinson,1505.1765596312357,203
Luguentz Dort,1505.07884717749,204
Aaron Holiday,1504.9893212221366,205
Malik Beasley,1504.988752988419,206
Alec Burks,1504.9142759347753,207
Jalen Smith,1504.805286806743,208
Cam Whitmore,1504.7784067503856,209
Tony Bradley,1504.6446162574196,210
Ajay Mitchell,1504.5851554092694,211
Quinten Post,1504.3280591695798,212
Ish Wainright,1504.0236413528505,213
Collin Gillespie,1503.704359174904,214
Nikola Jovic,1503.6778363971898,215
Lou Williams,1503.646734038499,216
Devin Carter,1503.3582128194696,217
Willy Hernangomez,1503.3363517470802,218
Jaylen Clark,1503.2927555963497,219
Cam Spencer,1503.270870538406,220
Davis Bertans,1503.2390876990942,221
Kel'el Ware,1503.137229965012,222
Matt Thomas,1503.135704360484,223
Ousmane Dieng,1503.096034548079,224
Jeff Dowtin Jr.,1503.0804061495112,225
Trevelin Queen,1502.9770132729989,226
Paul Millsap,1502.7356951243723,227
Dillon Jones,1502.7348846744069,228
Kenneth Lofton Jr.,1502.6739473650987,229
Jae Crowder,1502.6606628963598,230
Derrick Rose,1502.6354486216349,231
Branden Carlson,1502.6270618458157,232
Nathan Knight,1502.620351465584,233
Patrick Beverley,1502.6184147952251,234
Furkan Korkmaz,1502.5923963595949,235
Jeremy Lamb,1502.48500632487,236
RayJ Dennis,1502.3476282748957,237
Ricky Rubio,1502.2385915230186,238
Elijah Harkless,1502.1544248321045,239
Christian Koloko,1502.1505980004592,240
Kyle Korver,1502.036839712875,241
Thomas Bryant,1501.9906461371095,242
Sasha Vezenkov,1501.9753089368264,243
Bol Bol,1501.9584860900372,244
LaMarcus Aldridge,1501.9147137036348,245
Yuki Kawamura,1501.8672086281015,246
Darius Miller,1501.8152476363261,247
Rudy Gay,1501.8067726383765,248
Dante Exum,1501.7067839973136,249
Zach Edey,1501.6807974137137,250
Oscar Tshiebwe,1501.6635215318493,251
Patrick Patterson,1501.6088536239808,252
Goran Dragic,1501.5683013374987,253
Dru Smith,1501.5611493442946,254
Daeqwon Plowden,1501.5400154110312,255
Jevon Carter,1501.4995250652842,256
John Henson,1501.489250569642,257
Donovan Clingan,1501.4762109971684,258
Cole Swider,1501.4564827213987,259
Rondae Hollis-Jefferson,1501.4153455336095,260
Jared Rhoden,1501.4012307898436,261
Kevin McCullar Jr.,1501.3860652243638,262
Alex Reese,1501.3848062742059,263
Sidy Cissoko,1501.3232888554671,264
Dario Saric,1501.2818773204388,265
Nate Hinton,1501.2274688626323,266
Jared McCain,1501.1604308490382,267
Ersan Ilyasova,1501.1435465742431,268
Rob Dillingham,1501.0938447087826,269
RaiQuan Gray,1501.0851403382107,270
Xavier Tillman Sr.,1501.072902012017,271
Mac McClung,1501.0680559758773,272
Dexter Dennis,1501.0636685990314,273
Baylor Scheierman,1501.0472054601953,274
Will Barton,1501.0171273316544,275
John Collins,1501.0151434614288,276
Carlik Jones,1500.9974746399153,277
Cole Anthony,1500.9488321034391,278
Luka Garza,1500.9221838301173,279
Killian Tillie,1500.8954044143256,280
Tyson Chandler,1500.8852235323648,281
Malcolm Miller,1500.8669230955654,282
Tyler Kolek,1500.7973207934836,283
Dylan Windler,1500.7477476119125,284
Tyus Jones,1500.7464728173184,285
Jordan Walsh,1500.741523453086,286
Greg Monroe,1500.6691025976577,287
Noah Vonleh,1500.6549713325942,288
Keshad Johnson,1500.6383175134108,289
Jason Preston,1500.6342529121232,290
Jarrell Brantley,1500.617104973706,291
Terrence Shannon Jr.,1500.5761480036674,292
Nerlens Noel,1500.5288662080616,293
Mike James,1500.5258078099032,294
Nik Stauskas,1500.5200293584985,295
Adam Mokoka,1500.5143762463579,296
Jabari Parker,1500.5135329487402,297
Pacome Dadiet,1500.504591790302,298
Emanuel Miller,1500.4862152957076,299
Jarred Vanderbilt,1500.4694006614668,300
Thabo Sefolosha,1500.4662511961096,301
Shaquille Harrison,1500.456355732984,302
Henri Drell,1500.4434857241545,303
Courtney Lee,1500.4297608409297,304
Jalen Suggs,1500.4245499167787,305
T.J. Leaf,1500.4138646643526,306
Skal Labissiere,1500.4007916645114,307
Jackson Rowe,1500.3886305296342,308
Sandro Mamukelashvili,1500.3679301174711,309
Gabriel Lundberg,1500.3507945061901,310
Gabe York,1500.3503262598263,311
Bobi Klintman,1500.3190077665374,312
Nae'Qwan Tomlin,1500.297322765316,313
Matthew Hurt,1500.2938208617652,314
Craig Sword,1500.281452837227,315
Cam Christie,1500.2800781228593,316
Jules Bernard,1500.265473392593,317
Trentyn Flowers,1500.2391408172614,318
Kostas Antetokounmpo,1500.2205982153837,319
Naz Mitrou-Long,1500.2086419763782,320
Corey Brewer,1500.2021189994298,321
Marco Belinelli,1500.1807326689168,322
E.J. Liddell,1500.1782351274712,323
Dion Waiters,1500.1690090747857,324
Amile Jefferson,1500.1682839919904,325
Keyontae Johnson,1500.1681660065458,326
Kennedy Chandler,1500.157328130651,327
Harrison Ingram,1500.1567578261315,328
Devontae Cacok,1500.1515210622294,329
Tacko Fall,1500.1478340986232,330
Nicolo Melli,1500.1446385762847,331
Jonah Bolden,1500.1445920266583,332
Amari Bailey,1500.1373782152016,333
Kadeem Allen,1500.1333424283148,334
Cameron Oliver,1500.1196157308748,335
Johnathan Motley,1500.1166851512921,336
Miye Oni,1500.1031738532943,337
Mason Jones,1500.0995169867504,338
Chris Clemons,1500.0953672812861,339
Josh Okogie,1500.0933112248472,340
Braxton Key,1500.0921758994768,341
Tyler Smith,1500.080066946709,342
Alex Ducas,1500.0721250731597,343
Matt Mooney,1500.069234436889,344
JaKarr Sampson,1500.0658367424733,345
Zach Norvell,1500.0620304484971,346
Jared Dudley,1500.0615624872253,347
Eric Mika,1500.0525745827765,348
Jalen Duren,1500.0483672003413,349
Kyle O'Quinn,1500.0479179716367,350
Buddy Boeheim,1500.0455244808006,351
Antonius Cleveland,1500.033642858063,352
Jordan Schakel,1500.0304937542505,353
Tolu Smith,1500.0272020570671,354
Yuri Collins,1500.013652872817,355
Andrew Funk,1500.0,356
Tariq Owens,1500.0,357
Jamal Crawford,1500.0,358
Ryan Anderson,1500.0,359
J.P. Macura,1500.0,360
Tyler Hall,1500.0,361
Arnoldas Kulboka,1500.0,362
Ade Murkey,1500.0,363
Petr Cornelie,1500.0,364
Stanton Kidd,1500.0,365
Filip Petrusev,1500.0,366
Anton Watson,1500.0,367
Dusty Hannahs,1500.0,368
Riley Minix,1500.0,369
Jaylen Adams,1500.0,370
Greg Whittington,1500.0,371
Jon Teske,1500.0,372
Tristen Newton,1500.0,373
Jahmir Young,1500.0,374
Leonard Miller,1500.0,375
Liam Robbins,1500.0,376
Shaq Buchanan,1500.0,377
Quincy Olivari,1500.0,378
Tyler Zeller,1500.0,379
David Johnson,1500.0,380
Sam Dekker,1500.0,381
Jaylen Morris,1500.0,382
Moses Wright,1500.0,383
Rob Edwards,1500.0,384
Isaiah Crawford,1500.0,385
Grant Riller,1500.0,386
Malevy Leons,1500.0,387
Trevor Keels,1500.0,388
M.J. Walker,1500.0,389
Ty-Shon Alexander,1500.0,390
Isaiah Stevens,1500.0,391
Ahmad Caver,1500.0,392
Marko Simonovic,1500.0,393
Tyler Bey,1500.0,394
Tre Scott,1500.0,395
Jarron Cumberland,1500.0,396
Jalen Crutcher,1500.0,397
Will Magnay,1500.0,398
Tyler Dorsey,1500.0,399
Joe Johnson,1500.0,400
Kaiser Gates,1500.0,401
Feron Hunt,1500.0,402
Jaysean Paige,1500.0,403
Izaiah Brockington,1500.0,404
Zyon Pullin,1500.0,405
Nate Darling,1500.0,406
Jordan Ford,1500.0,407
James Nunnally,1500.0,408
Jesse Edwards,1500.0,409
Alondes Williams,1500.0,410
Donovan Williams,1500.0,411
Joel Ayayi,1500.0,412
Daryl Macon,1500.0,413
Scottie Lewis,1500.0,414
Jalen Bridges,1500.0,415
PJ Hall,1500.0,416
George King,1500.0,417
Shamorie Ponds,1500.0,418
Cat Barber,1500.0,419
Aaron Henry,1500.0,420
Chima Moneke,1500.0,421
Malcolm Cazalon,1500.0,422
Marial Shayok,1500.0,423
Markquis Nowell,1500.0,424
Javin DeLaurier,1500.0,425
Cui Yongxi,1500.0,426
JaQuori McLaughlin,1500.0,427
Wayne Selden,1500.0,428
Jaime Echenique,1500.0,429
Zhaire Smith,1500.0,430
Malik Newman,1500.0,431
Michael Foster Jr.,1500.0,432
Luca Vildoza,1500.0,433
Dmytro Skapintsev,1500.0,434
Paris Bass,1500.0,435
Josh Reaves,1499.9860826527106,436
Jonathan Kuminga,1499.9822907989349,437
Cameron McGriff,1499.980991760328,438
Phillip Wheeler,1499.9752616372862,439
Jared Harper,1499.9716005297032,440
Jarrod Uthoff,1499.9692791287462,441
Devon Hall,1499.9671020438877,442
Josh Magette,1499.9669197570713,443
Myles Powell,1499.966769052788,444
Henry Ellenson,1499.9539851327227,445
Dewan Hernandez,1499.9538723302383,446
Amida Brimah,1499.9459391663997,447
Maozinha Pereira,1499.9445041503297,448
Jaxson Hayes,1499.940301302344,449
Joakim Noah,1499.9386427352279,450
Brian Bowen,1499.927512714881,451
Robert Franks,1499.9221833843449,452
Jalen Slawson,1499.9156639966266,453
Daniss Jenkins,1499.9095360663805,454
Jeremy Pargo,1499.8895664130805,455
Ryan Broekhoff,1499.885298322267,456
J.J. Barea,1499.8843412913857,457
Olivier Sarr,1499.8836704295713,458
Juwan Morgan,1499.8836659601352,459
Nigel Williams-Goss,1499.8802814479545,460
Joe Wieskamp,1499.8662106872416,461
Kyle Alexander,1499.865894325968,462
Jalen Lecque,1499.8626344801578,463
Andre Iguodala,1499.8585158327462,464
Ron Harper Jr.,1499.8574140544993,465
Adama Sanogo,1499.8546736861756,466
Khyri Thomas,1499.853048596239,467
Darius Days,1499.8491450991585,468
Hassani Gravett,1499.8456972024142,469
Kevin Hervey,1499.837626961145,470
Meyers Leonard,1499.825636805841,471
Jalen Harris,1499.82422809655,472
Alex Fudge,1499.8186581841717,473
Tyrell Terry,1499.8161206504092,474
Luc Mbah a Moute,1499.8115663943267,475
Elijah Bryant,1499.8026000503464,476
DeMarcus Cousins,1499.802126228044,477
Pat Connaughton,1499.7969224129888,478
JD Davison,1499.7824609048366,479
Jaden McDaniels,1499.7795272716157,480
Jontay Porter,1499.7732070038787,481
Derrick Walton,1499.7714679197566,482
Jermaine Samuels,1499.7621615069265,483
Dereon Seabron,1499.7527813558247,484
William Howard,1499.7467979711096,485
C.J. Miles,1499.725552311212,486
Mike Scott,1499.723667697276,487
Andre Roberson,1499.7230791981929,488
Vic Law,1499.7179112348754,489
Ante Zizic,1499.7104540461673,490
D.J. Carton,1499.7101877067585,491
B.J. Johnson,1499.7064219816875,492
Jeremiah Martin,1499.7033437680598,493
Louis King,1499.6995380440935,494
Trayvon Palmer,1499.6975247926634,495
Anzejs Pasecniks,1499.6917477816046,496
RJ Nembhard Jr.,1499.6820032515086,497
Josh Gray,1499.673667072294,498
JJ Redick,1499.667312413269,499
Jerian Grant,1499.6641978089947,500
Robert Woodard II,1499.65771060617,501
Alize Johnson,1499.6554837630006,502
Drew Peterson,1499.6449811842256,503
Scotty Hopson,1499.6387216090698,504
Pat Spencer,1499.6220697820008,505
Devonte' Graham,1499.6190177053056,506
D'Moi Hodge,1499.6164458944272,507
Elie Okobo,1499.609126187776,508
Anderson Varejao,1499.6062317034646,509
Chandler Parsons,1499.6057357764912,510
Jemerrio Jones,1499.5945191149003,511
Quinndary Weatherspoon,1499.581111471194,512
Joe Chealey,1499.5793038635666,513
Willie Cauley-Stein,1499.5769018897004,514
Donta Hall,1499.57469742399,515
Ray Spalding,1499.574467815739,516
Xavier Cooks,1499.5742420733848,517
Yves Pons,1499.5612809781278,518
Leandro Bolmaro,1499.5459245891643,519
Leaky Black,1499.538657665022,520
DeMarre Carroll,1499.5331064561599,521
Frank Mason III,1499.5263172324599,522
Axel Toupane,1499.5063712127085,523
Trevor Hudgins,1499.493621392097,524
Brodric Thomas,1499.4851013620917,525
Xavier Moon,1499.4750004000593,526
Johnathan Williams,1499.4667400141113,527
Zylan Cheatham,1499.4580618523055,528
Vincent Poirier,1499.454581947688,529
Emmanuel Mudiay,1499.4531865509052,530
Jamorko Pickett,1499.4474929709293,531
Denzel Valentine,1499.4465540337692,532
Quenton Jackson,1499.4358440844967,533
Dakota Mathias,1499.4340855901341,534
Gabriel Deck,1499.4323888338135,535
Malcolm Hill,1499.4217688023048,536
Emanuel Terry,1499.4165097608618,537
Terquavion Smith,1499.411392648136,538
Cameron Reynolds,1499.4019886282751,539
Jordan McRae,1499.3997996913727,540
Adam Flagler,1499.3891347794963,541
Michael Kidd-Gilchrist,1499.3854884401217,542
Enrique Freeman,1499.3848782664752,543
Jordan Goodwin,1499.3730057974137,544
Vernon Carey Jr.,1499.3691393782342,545
N'Faly Dante,1499.3653770989913,546
Cassius Stanley,1499.3618050801065,547
Sharife Cooper,1499.335569805198,548
Darren Collison,1499.3289352041602,549
Chance Comanche,1499.3225288588,550
Isaiah Mobley,1499.3220133638354,551
Cassius Winston,1499.3140914554479,552
Scotty Pippen Jr.,1499.3113104989768,553
Devin Cannady,1499.3100580565888,554
Abdel Nader,1499.300731255322,555
Troy Daniels,1499.3005528221233,556
Marques Bolden,1499.2925688576904,557
Justin Wright-Foreman,1499.2919455412823,558
Mo Bamba,1499.2880425965648,559
Jay Scrubb,1499.28102835952,560
Tyrone Wallace,1499.2795865848236,561
Bruno Caboclo,1499.2725924180406,562
Malik Fitts,1499.2600834671975,563
Mfiondu Kabengele,1499.2597118584176,564
Kendall Brown,1499.2528551993835,565
Karim Mane,1499.2143640214895,566
Devon Dotson,1499.1982390770538,567
Norvel Pelle,1499.1831389753886,568
Jazian Gortman,1499.1816508912107,569
Marvin Williams,1499.1784993332717,570
Carsen Edwards,1499.1735001615968,571
Dragan Bender,1499.1621175393839,572
Alen Smailagic,1499.161413598704,573
Miles Norris,1499.1613845923598,574
Jordan Bell,1499.15705833619,575
Patrick McCaw,1499.1415758083938,576
Lance Thomas,1499.140571924394,577
E'Twaun Moore,1499.1345475484168,578
Alex Len,1499.1157446487173,579
Allonzo Trier,1499.1073759233911,580
Brandon Williams,1499.106670156945,581
Kevin Pangos,1499.1018515244223,582
Quinn Cook,1499.1005405694837,583
Michael Frazier,1499.070201834072,584
Keegan Murray,1499.0549674652402,585
Vince Carter,1499.0546826323744,586
Damion Lee,1499.0399235402763,587
Daniel Oturu,1499.038184413923,588
Cheick Diallo,1499.0202470956829,589
Julian Phillips,1499.0089619742057,590
Tremont Waters,1498.9967024150096,591
Luke Travers,1498.992331829652,592
Thon Maker,1498.9912414938894,593
Sindarius Thornwell,1498.9900216551423,594
Sean McDermott,1498.9830661379879,595
Rodions Kurucs,1498.975634993541,596
D.J. Wilson,1498.932235277723,597
Taze Moore,1498.9297344033587,598
Marko Guduric,1498.9222320309889,599
Trey Burke,1498.9216298521114,600
Evan Turner,1498.9118873927955,601
Jacob Toppin,1498.904195147524,602
Rayjon Tucker,1498.8947417923532,603
Brandon Knight,1498.8839986290136,604
Javonte Smart,1498.879808821788,605
Chris Silva,1498.851922781286,606
Johnny Furphy,1498.848083787839,607
Jordan Hall,1498.8426511495036,608
J.R. Smith,1498.8333706550052,609
Kelan Martin,1498.820772503132,610
Shabazz Napier,1498.807709725711,611
Jalen Pickett,1498.7837075797797,612
Cristiano Felicio,1498.7830896591363,613
Eric Bledsoe,1498.768146423406,614
Deividas Sirvydis,1498.7567212658153,615
Mychal Mulder,1498.7539032955672,616
Chris Livingston,1498.7380448048523,617
Aleem Ford,1498.7239726523358,618
Paul Watson,1498.7099450715116,619
Jack McVeigh,1498.7073964974786,620
Xavier Sneed,1498.6999955433462,621
Ulrich Chomche,1498.6867320854994,622
Chaundee Brown Jr.,1498.675380205618,623
Deonte Burton,1498.67129907313,624
Chris Chiozza,1498.6472594036863,625
Caleb Swanigan,1498.5761434229362,626
Kyle Guy,1498.5734502806904,627
Jarace Walker,1498.5709893592602,628
Nico Mannion,1498.567612710504,629
Klay Thompson,1498.5672520219166,630
Ashton Hagans,1498.5472983367206,631
Derrick Favors,1498.5403640183526,632
Ariel Hukporti,1498.5373268002736,633
Mamadi Diakite,1498.5311412942474,634
Lester Quinones,1498.5271152145756,635
Kobi Simmons,1498.51184529304,636
Seth Lundy,1498.4953684443803,637
Jahlil Okafor,1498.4910690086483,638
Raul Neto,1498.4786785762003,639
Ian Mahinmi,1498.4689757954966,640
Iman Shumpert,1498.4496491074942,641
Matt Ryan,1498.4413137016336,642
Yogi Ferrell,1498.4403732655237,643
KZ Okpala,1498.3981791655294,644
Sterling Brown,1498.3682826073807,645
Justin Patton,1498.3219050024002,646
Justin James,1498.3176411956545,647
Kai Jones,1498.3159601868335,648
Langston Galloway,1498.2927194093736,649
Udonis Haslem,1498.2684634501074,650
Brandon Goodwin,1498.2578516290773,651
Omari Spellman,1498.2547604568695,652
Dzanan Musa,1498.1765014993978,653
Marquese Chriss,1498.17065187033,654
Kevon Harris,1498.1548021002593,655
Isaiah Wong,1498.1388729546602,656
Armel Traore,1498.1311631174676,657
Jack White,1498.113328119717,658
David Nwaba,1498.0735356346663,659
Pete Nance,1498.060255044639,660
David Duke Jr.,1498.0489113931828,661
Markus Howard,1498.0250352763599,662
Jaylen Hoard,1498.014661911082,663
Tre Jones,1497.9918287471748,664
Justin Anderson,1497.967787802204,665
Jordan Bone,1497.9598127393167,666
Charles Bassey,1497.928081126082,667
Robin Lopez,1497.9232239156156,668
Jake LaRavia,1497.9208881683787,669
Jake Layman,1497.906886798865,670
Juan Toscano-Anderson,1497.888278722919,671
Trey Alexander,1497.8719278809824,672
Onuralp Bitim,1497.8528359965583,673
Isaac Bonga,1497.839307380692,674
Spencer Jones,1497.835616876911,675
Lindell Wigginton,1497.8283441443346,676
Reed Sheppard,1497.8135653029128,677
Dewayne Dedmon,1497.802512885276,678
Jaylen Wells,1497.7794193211978,679
Anthony Tolliver,1497.7592713009126,680
Ed Davis,1497.7528452692334,681
Karlo Matkovic,1497.7178496714014,682
Tristan Vukcevic,1497.7061013537345,683
Jeenathan Williams,1497.6977313140312,684
Reggie Perry,1497.6827039696607,685
Charlie Brown Jr.,1497.6785847583556,686
Isaiah Todd,1497.6600770213042,687
Maxwell Lewis,1497.6235408548232,688
Gordon Hayward,1497.6164684150233,689
Richaun Holmes,1497.5951893059005,690
DeJon Jarreau,1497.5930718000484,691
Stanley Umude,1497.575088119049,692
McKinley Wright IV,1497.5731679305045,693
Tyler Johnson,1497.562713575479,694
Kobe Bufkin,1497.5340791858562,695
Davon Reed,1497.498411099528,696
Gorgui Dieng,1497.4970611461467,697
Jeff Teague,1497.4588834834422,698
Duop Reath,1497.454300957871,699
Markelle Fultz,1497.4358489478934,700
Theo Pinson,1497.4343619080557,701
Georgios Kalaitzakis,1497.4254138287838,702
Talen Horton-Tucker,1497.3797252496443,703
Chimezie Metu,1497.3519297748544,704
Jahmi'us Ramsey,1497.300413041977,705
Dwight Howard,1497.292354545706,706
Wilson Chandler,1497.2785459215409,707
Wendell Carter Jr.,1497.2627283594659,708
Jacob Evans,1497.2549039499563,709
Emoni Bates,1497.2340401634003,710
Anthony Lamb,1497.17103277569,711
Cody Zeller,1497.1661267909335,712
Didi Louzada,1497.0991932080767,713
Vlatko Cancar,1497.0863905636156,714
Omer Yurtseven,1497.0684884729733,715
Jaylen Sims,1497.021997331462,716
MarJon Beauchamp,1497.018940083358,717
Tyler Cook,1496.9655451476783,718
Udoka Azubuike,1496.961948375362,719
Al-Farouq Aminu,1496.9404116568026,720
Jaden Springer,1496.8917929415256,721
John Butler,1496.8658347408573,722
Josh Hall,1496.8466886626252,723
Bradley Beal,1496.8331319911406,724
Freddie Gillespie,1496.8073371052042,725
Harry Giles,1496.7731651454883,726
Bronny James,1496.7722174133348,727
Wesley Matthews,1496.765976803199,728
Terry Taylor,1496.7371804989057,729
James Ennis III,1496.7155004981596,730
Daniel Theis,1496.66910011106,731
