Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Christian Braun,22.0,SG,12,0,204,0.426,0.528,0.222,0.463,0.688,0.5,0.296,0.333,90,97,61.0,85,88.0,86,121,84,
2.0,Kentavious Caldwell-Pope,30.0,SG,12,12,420,0.395,0.516,0.327,0.5,1.0,0.534,0.128,0.64,83,95,89.0,91,128.0,92,52,162,
3.0,Aaron Gordon,28.0,PF,12,12,445,0.585,0.637,0.407,0.631,0.821,0.66,0.237,0.229,123,117,111.0,116,105.0,114,97,58,
4.0,Justin Holiday,34.0,SG,12,0,150,0.314,0.0,0.379,0.471,0.5,0.476,0.114,0.829,66,0,104.0,86,64.0,82,47,210,
5.0,Reggie Jackson,33.0,PG,12,0,117,0.333,0.32,0.348,0.417,1.0,0.43,0.042,0.479,70,59,95.0,76,128.0,74,17,121,
6.0,Nikola Jokić,28.0,C,12,12,482,0.545,0.623,0.264,0.574,0.901,0.625,0.291,0.217,115,114,72.0,105,115.0,108,119,55,
7.0,DeAndre Jordan,35.0,C,2,0,13,0.5,0.5,,0.5,1.0,0.694,1.0,0.0,105,92,,91,128.0,120,409,0,
8.0,Jamal Murray,26.0,PG,12,12,462,0.402,0.438,0.315,0.448,0.923,0.474,0.104,0.293,85,80,86.0,82,118.0,82,43,74,
9.0,Zeke Nnaji,23.0,PF,3,0,14,0.667,0.667,,0.667,0.5,0.644,0.667,0.0,141,122,,122,64.0,111,273,0,
10.0,Jalen Pickett,24.0,SG,3,0,11,0.667,1.0,0.0,0.667,,0.667,0.0,0.333,141,183,0.0,122,,115,0,84,
11.0,Michael Porter Jr.,25.0,SF,12,12,443,0.466,0.538,0.407,0.579,0.769,0.6,0.178,0.555,98,99,111.0,106,98.0,103,73,141,
12.0,Julian Strawther,21.0,SF,3,0,16,0.333,0.5,0.25,0.417,0.5,0.451,0.667,0.667,70,92,68.0,76,64.0,78,273,169,
13.0,Hunter Tyson,23.0,PF,3,0,14,0.0,0.0,0.0,0.0,0.5,0.102,0.5,0.75,0,0,0.0,0,64.0,18,205,190,
14.0,Peyton Watson,21.0,SF,10,0,90,0.25,0.25,0.25,0.313,0.5,0.338,0.25,0.5,53,46,68.0,57,64.0,58,102,127,
,Team Totals,,,12,12,2881,0.457,0.53,0.332,0.519,0.83,0.552,0.196,0.371,96,97,91.0,95,106.0,95,80,94,
