Rk,Unnamed: 1,Salary
1,De'Aaron Fox,"$34,848,340"
2,Devin Vassell,"$29,347,826"
3,Keldon Johnson,"$19,000,000"
4,Harrison Barnes,"$18,000,000"
5,Victor Wembanyama,"$12,768,960"
6,Chris Paul,"$10,460,000"
7,Stephon Castle,"$9,105,120"
8,Jeremy Sochan,"$5,570,040"
9,Jalen McDaniels,"$4,741,800"
10,Malaki Branham,"$3,217,920"
11,Julian Champagnie,"$3,000,000"
12,Blake Wesley,"$2,624,280"
13,Patrick Baldwin,"$2,448,840"
14,Jordan McLaughlin,"$2,087,519"
15,Charles Bassey,"$2,087,519"
16,Sandro Mamukelashvili,"$2,087,519"
17,Bismack Biyombo,"$503,884"
18,Bismack Biyombo,"$143,967"
19,Bismack Biyombo,"$143,967"
20,Riley Minix,
21,David Duke,
22,Harrison Ingram,
