Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Ja Morant,22.0,PG,9,9,37.6,9.0,20.4,0.44,1.9,5.6,0.34,7.1,14.9,0.478,0.486,7.2,9.7,0.747,1.4,6.6,8.0,9.8,2.0,0.4,3.6,2.4,27.1,
2.0,Desmond Bane,23.0,SG,12,12,35.7,6.3,13.3,0.478,3.6,7.3,0.489,2.8,5.9,0.465,0.613,2.5,2.9,0.857,0.4,3.3,3.8,2.2,0.9,0.8,1.3,1.9,18.8,
3.0,Dillon Brooks,26.0,SF,11,11,30.5,5.5,15.6,0.349,2.3,6.5,0.347,3.2,9.1,0.35,0.422,1.5,2.3,0.64,0.7,2.0,2.7,2.7,1.0,0.3,2.0,3.3,14.6,
4.0,Jaren Jackson Jr.,22.0,PF,12,12,27.7,4.9,13.0,0.378,2.3,6.0,0.375,2.7,7.0,0.381,0.465,3.3,4.4,0.755,2.2,4.6,6.8,0.9,0.8,2.5,1.4,4.4,15.4,
5.0,Brandon Clarke,25.0,PF,12,0,24.7,4.7,7.6,0.615,0.0,0.1,0.0,4.7,7.5,0.622,0.615,3.0,4.5,0.667,3.1,3.8,6.9,2.0,0.8,0.8,1.0,1.9,12.3,
6.0,Tyus Jones,25.0,PG,12,3,21.8,3.3,8.3,0.394,1.5,3.8,0.4,1.8,4.5,0.389,0.485,1.2,1.3,0.933,0.3,2.9,3.3,4.5,1.2,0.2,1.1,0.7,9.2,
7.0,Kyle Anderson,28.0,PF,12,1,18.4,2.4,4.3,0.569,0.3,1.0,0.25,2.2,3.3,0.667,0.598,0.9,1.5,0.611,0.8,3.5,4.3,1.8,0.9,0.6,0.8,1.8,6.0,
8.0,De'Anthony Melton,23.0,SG,10,0,17.0,2.1,6.5,0.323,1.1,4.4,0.25,1.0,2.1,0.476,0.408,0.3,0.4,0.75,0.9,2.2,3.1,1.6,1.0,0.5,1.4,0.9,5.6,
9.0,Ziaire Williams,20.0,SF,10,1,16.8,2.3,5.2,0.442,1.1,3.6,0.306,1.2,1.6,0.75,0.548,1.2,1.3,0.923,0.4,1.2,1.6,0.5,0.5,0.0,0.2,1.4,6.9,
10.0,Steven Adams,28.0,C,7,5,16.3,1.3,3.0,0.429,0.0,0.0,,1.3,3.0,0.429,0.429,0.9,1.6,0.545,2.1,4.3,6.4,2.1,0.1,0.1,0.6,1.7,3.4,
11.0,Xavier Tillman Sr.,23.0,PF,9,6,15.4,2.0,2.8,0.72,0.1,0.2,0.5,1.9,2.6,0.739,0.74,0.3,0.7,0.5,1.4,1.9,3.3,0.7,0.7,0.1,1.1,1.8,4.4,
12.0,Jarrett Culver,22.0,SG,3,0,7.3,1.0,3.3,0.3,0.0,0.7,0.0,1.0,2.7,0.375,0.3,0.3,0.7,0.5,0.7,1.7,2.3,0.3,0.7,0.0,0.7,1.3,2.3,
13.0,John Konchar,25.0,SG,8,0,7.0,0.4,1.4,0.273,0.1,0.8,0.167,0.3,0.6,0.4,0.318,0.3,0.3,1.0,0.4,2.0,2.4,0.6,0.4,0.1,0.1,0.9,1.1,
,Team Totals,,,12,12,240.0,39.8,91.3,0.435,13.1,35.8,0.365,26.7,55.5,0.48,0.507,19.9,27.1,0.735,12.4,33.4,45.8,25.2,9.2,6.1,14.0,20.8,112.5,
