Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Desmond Bane,23,SG,76,76,2266,8.1,17.5,0.461,3.6,8.3,0.436,4.4,9.2,0.484,0.565,2.2,2.5,0.903,0.7,4.6,5.3,3.3,1.5,0.5,1.8,3.1,22.0,
2,Jaren Jackson Jr.,22,PF,78,78,2126,7.3,17.5,0.415,2.2,6.8,0.319,5.1,10.8,0.476,0.477,4.8,5.8,0.823,2.0,5.7,7.7,1.5,1.2,3.0,2.2,4.6,21.5,"DPOY-5,DEF1"
3,Steven Adams,28,C,76,75,1999,3.8,6.9,0.547,0.0,0.0,0.0,3.8,6.9,0.548,0.547,1.9,3.6,0.543,6.3,7.4,13.7,4.6,1.2,1.1,2.1,2.8,9.5,
4,Ja Morant,22,PG,57,57,1889,11.1,22.4,0.493,1.7,4.9,0.344,9.4,17.6,0.534,0.53,6.0,7.9,0.761,1.5,4.7,6.2,7.3,1.3,0.4,3.7,1.6,29.8,"MVP-7,MIP-1,AS,NBA2"
5,De'Anthony Melton,23,SG,73,15,1657,6.1,15.1,0.404,3.0,8.1,0.374,3.1,7.0,0.44,0.504,2.0,2.6,0.75,1.4,5.7,7.1,4.2,2.3,0.8,2.4,2.8,17.2,6MOY-8
6,Tyus Jones,25,PG,73,23,1549,5.8,12.8,0.451,1.9,4.8,0.39,3.9,8.1,0.487,0.524,1.3,1.5,0.818,0.4,3.7,4.1,7.5,1.5,0.0,1.1,0.7,14.7,6MOY-11
7,Kyle Anderson,28,PF,69,11,1484,5.1,11.4,0.446,0.9,2.6,0.33,4.2,8.7,0.481,0.484,1.6,2.5,0.638,1.7,7.3,8.9,4.4,1.9,1.1,1.7,2.6,12.6,
8,Ziaire Williams,20,SF,62,31,1346,5.1,11.3,0.45,2.0,6.5,0.314,3.1,4.9,0.632,0.54,1.2,1.5,0.782,0.7,2.8,3.5,1.7,0.9,0.3,1.1,3.0,13.4,
9,John Konchar,25,SG,72,7,1292,3.8,7.3,0.515,1.4,3.5,0.413,2.3,3.8,0.61,0.615,0.8,1.4,0.551,2.4,6.7,9.2,3.0,1.3,0.6,0.8,2.5,9.7,
10,Brandon Clarke,25,PF,64,1,1246,8.3,12.9,0.644,0.1,0.6,0.227,8.2,12.3,0.666,0.65,2.5,3.8,0.654,3.9,6.0,9.9,2.5,1.1,2.0,1.0,3.5,19.2,6MOY-11
11,Dillon Brooks,26,SF,32,31,885,9.2,21.4,0.432,1.9,6.1,0.309,7.4,15.3,0.48,0.475,3.7,4.3,0.849,1.2,3.0,4.1,3.6,1.5,0.3,2.0,4.3,24.0,
12,Xavier Tillman Sr.,23,PF,53,2,701,5.0,11.1,0.454,0.5,2.5,0.204,4.5,8.6,0.527,0.477,2.4,3.6,0.648,3.4,4.9,8.3,3.2,2.5,0.8,1.7,3.2,12.9,
13,Killian Tillie,23,C,36,3,461,3.4,9.9,0.339,2.1,6.7,0.314,1.2,3.2,0.39,0.445,0.4,0.6,0.625,1.6,3.0,4.7,1.7,1.8,1.2,1.0,4.5,9.2,
14,Santi Aldama,21,PF,32,0,360,5.3,13.2,0.402,0.6,4.8,0.125,4.7,8.4,0.56,0.424,2.0,3.2,0.625,3.3,5.4,8.7,2.1,0.6,1.0,1.6,3.6,13.2,
15,Jarrett Culver,22,SG,37,0,338,5.4,14.4,0.378,1.3,5.0,0.255,4.2,9.4,0.443,0.422,1.7,3.6,0.471,1.4,3.7,5.1,3.5,2.1,0.5,2.1,4.5,13.8,
16,Yves Pons,22,SF,12,0,71,2.5,8.1,0.313,1.5,4.6,0.333,1.0,3.5,0.286,0.406,0.0,1.0,0.0,2.5,3.5,6.1,0.5,0.5,2.0,0.5,3.0,6.6,
17,Sam Merrill,25,SG,6,0,58,5.0,14.9,0.333,4.3,14.3,0.304,0.6,0.6,1.0,0.479,1.2,2.5,0.5,0.6,3.7,4.3,2.5,0.0,0.0,1.2,1.9,15.5,
18,Dakota Mathias,26,SG,6,0,16,4.5,13.5,0.333,4.5,13.5,0.333,0.0,0.0,,0.5,0.0,0.0,,0.0,4.5,4.5,2.3,2.3,0.0,0.0,2.3,13.5,
19,Shaq Buchanan,25,SG,2,0,10,3.6,14.4,0.25,0.0,7.2,0.0,3.6,7.2,0.5,0.25,0.0,0.0,,3.6,3.6,7.2,7.2,3.6,0.0,7.2,3.6,7.2,
20,DaQuan Jeffries,24,SG,3,0,9,4.0,8.0,0.5,0.0,4.0,0.0,4.0,4.0,1.0,0.5,0.0,0.0,,0.0,8.0,8.0,4.0,0.0,0.0,0.0,4.0,8.0,
21,Xavier Sneed,24,SF,2,0,8,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,0.0,,4.5,4.5,9.0,0.0,0.0,0.0,0.0,9.0,0.0,
22,Jon Teske,24,C,3,0,8,0.0,4.5,0.0,0.0,0.0,,0.0,4.5,0.0,0.0,0.0,9.0,0.0,0.0,9.0,9.0,4.5,4.5,0.0,0.0,4.5,0.0,
23,Tyrell Terry,21,PG,2,0,3,12.0,12.0,1.0,0.0,0.0,,12.0,12.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,24.0,
