Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Dyson Daniels,22,SG,27,27,921,5.4,11.0,0.491,0.3,1.7,0.159,5.1,9.3,0.553,0.504,1.2,1.9,0.625,2.4,4.4,6.8,6.0,2.2,0.4,2.5,2.6,12.2,
2,Jalen Johnson,24,SF,24,24,843,8.5,16.4,0.516,1.6,4.1,0.385,6.9,12.3,0.559,0.564,4.8,5.9,0.813,1.6,9.1,10.7,8.4,1.6,0.4,3.4,2.2,23.3,
3,Nickeil Alexander-Walker,27,SG,25,22,817,7.6,16.7,0.453,3.2,8.1,0.391,4.4,8.6,0.51,0.547,4.1,4.7,0.869,0.9,3.0,4.0,3.7,1.1,0.7,2.4,2.5,22.4,
4,Onyeka Okongwu,25,C,26,15,802,7.0,14.2,0.495,2.2,6.1,0.36,4.8,8.1,0.597,0.573,2.5,3.3,0.757,2.1,6.7,8.8,3.6,1.1,1.4,2.5,4.0,18.8,
5,Zaccharie Risacher,20,SF,24,24,591,6.5,14.1,0.463,1.9,6.4,0.305,4.6,7.7,0.595,0.532,1.4,2.0,0.697,1.0,2.9,4.0,2.3,1.6,0.8,1.2,3.0,16.4,
6,Vit Krejci,25,PG,23,1,549,5.4,10.7,0.509,3.9,8.5,0.465,1.5,2.2,0.676,0.693,0.9,1.2,0.737,0.6,3.0,3.5,2.7,1.2,0.5,1.4,3.4,15.7,
7,Luke Kennard,29,SG,24,0,492,4.3,9.1,0.472,2.4,5.6,0.429,1.9,3.5,0.542,0.604,1.6,1.7,0.957,0.9,2.6,3.4,4.1,1.4,0.1,1.7,2.1,12.7,
8,Mouhamed Gueye,23,PF,27,3,457,5.0,10.2,0.488,1.2,4.3,0.273,3.8,5.8,0.649,0.547,1.0,1.8,0.565,2.4,5.2,7.6,2.0,1.3,1.4,1.5,3.8,12.1,
9,Keaton Wallace,26,PG,25,2,349,3.9,9.9,0.396,2.6,6.3,0.41,1.3,3.6,0.371,0.526,0.5,1.0,0.5,0.1,3.7,3.8,6.8,1.7,0.4,1.9,3.4,10.9,
10,Kristaps Porziņģis,30,C,13,12,337,8.9,17.8,0.497,2.6,7.1,0.364,6.3,10.8,0.584,0.569,6.3,7.4,0.855,2.0,5.8,7.8,4.3,0.6,2.2,1.3,4.7,26.6,
11,Asa Newell,20,PF,17,0,158,7.5,13.0,0.579,3.0,5.7,0.52,4.6,7.3,0.625,0.693,2.1,2.7,0.75,3.9,3.0,6.8,2.1,1.4,0.9,1.6,4.6,20.1,
12,Trae Young,27,PG,5,5,139,6.7,18.1,0.371,1.3,6.7,0.192,5.4,11.4,0.477,0.407,8.3,10.1,0.821,0.0,2.6,2.6,10.1,1.0,0.3,2.6,2.3,23.1,
13,Caleb Houstan,23,SF,8,0,43,5.0,10.9,0.462,4.2,8.4,0.5,0.8,2.5,0.333,0.654,2.5,2.5,1.0,3.3,0.8,4.2,1.7,0.8,0.8,3.3,4.2,16.7,
14,Jacob Toppin,25,SF,5,0,17,8.5,12.7,0.667,0.0,0.0,,8.5,12.7,0.667,0.667,0.0,0.0,,0.0,2.1,2.1,2.1,0.0,2.1,0.0,2.1,16.9,
15,N'Faly Dante,24,C,4,0,15,2.4,9.6,0.25,0.0,0.0,,2.4,9.6,0.25,0.25,2.4,2.4,1.0,7.2,9.6,16.8,0.0,4.8,0.0,2.4,2.4,7.2,
