Player,Team,Update,Description
N'Faly Dante,Atlanta Hawks,"Sun, Dec 14, 2025",Day To Day (Concussion) - Dante did not play in Sunday's (Dec. 14) game against the 76ers.
Kristaps Porziņģis,Atlanta Hawks,"Sun, Dec 14, 2025","Out (Reconditioning) - The Hawks announced Porzingis will miss the next two weeks and undergo further evaluations, sources tell ESPN."
Jacob Toppin,Atlanta Hawks,"Sun, Dec 14, 2025",Day To Day (Shoulder) - Toppin did not play in Sunday's (Dec. 14) game against the 76ers.
Trae Young,Atlanta Hawks,"Wed, Dec 17, 2025",Day To Day (Knee) - The Hawks listed Young as Questionable for Thursdayâs (Dec.18) game against the Hornets.
