unnamed_0_level_0_starters,basic_box_score_stats_mp,basic_box_score_stats_fg,basic_box_score_stats_fga,basic_box_score_stats_fg,basic_box_score_stats_3p,basic_box_score_stats_3pa,basic_box_score_stats_3p,basic_box_score_stats_ft,basic_box_score_stats_fta,basic_box_score_stats_ft,basic_box_score_stats_orb,basic_box_score_stats_drb,basic_box_score_stats_trb,basic_box_score_stats_ast,basic_box_score_stats_stl,basic_box_score_stats_blk,basic_box_score_stats_tov,basic_box_score_stats_pf,basic_box_score_stats_pts,basic_box_score_stats_gmsc,basic_box_score_stats_,did_play,dnp_reason,team,opponent,home_team,away_team,is_home,is_away,player_uid,game_id,game_date,scraped_at,table_id
Keyonte George,34:07,8,17,.471,0,5,.000,9,10,.900,0,3,3,7,1,0,2,2,25,19.9,+2,True,,UTA,CHI,CHI,UTA,False,True,e62d58493e563dbf423748cc3160f9e506c33543,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Cody Williams,31:14,3,6,.500,0,1,.000,0,2,.000,1,6,7,2,0,2,0,2,6,6.7,-2,True,,UTA,CHI,CHI,UTA,False,True,4419abf5d0bc70099c2eb84e91ad0f5fc02739bc,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Ace Bailey,31:03,4,9,.444,0,3,.000,2,2,1.000,2,1,3,3,0,0,0,1,10,8.7,+12,True,,UTA,CHI,CHI,UTA,False,True,806fbb1de0d96aef4842487b8da87426d6698de8,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Kyle Filipowski,30:48,9,15,.600,1,3,.333,0,0,,2,5,7,4,3,0,1,5,19,17.8,-8,True,,UTA,CHI,CHI,UTA,False,True,96f4eda335777cc6531bcfe3b5c5bb3f406fc478,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Isaiah Collier,21:34,3,6,.500,0,0,,2,2,1.000,0,0,0,4,1,0,4,4,8,3.2,-8,True,,UTA,CHI,CHI,UTA,False,True,2206b49b9a68bf5b780effad71677f08bac311de,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,True,,UTA,CHI,CHI,UTA,False,True,e4437db2498e018712c9ded96fdd867ce4e516d2,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Brice Sensabaugh,34:17,15,22,.682,5,10,.500,8,8,1.000,2,3,5,2,2,0,2,2,43,36.5,-2,True,,UTA,CHI,CHI,UTA,False,True,550f528da412cedbdadc62c45f267d54a7e2752e,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Walter Clayton,20:45,1,6,.167,1,5,.200,2,2,1.000,0,4,4,5,2,0,3,1,5,4.5,+3,True,,UTA,CHI,CHI,UTA,False,True,d2b6a46be48c54819dfc8349d2b52d2aba270afa,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Taylor Hendricks,19:00,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,0,3,2.3,-13,True,,UTA,CHI,CHI,UTA,False,True,2ab25844632968f6f76b431c8c31957ef01c5005,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Kyle Anderson,17:12,3,4,.750,0,0,,1,1,1.000,1,4,5,3,0,0,0,3,7,8.2,+6,True,,UTA,CHI,CHI,UTA,False,True,edb5e5f37b4c81bc8aa09b927d95b0a466a713f9,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
Svi Mykhailiuk,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,False,coach_decision,UTA,CHI,CHI,UTA,False,True,51d4ed67823d113fd7d91b4fd276e9f3265b5338,202601140CHI,"Utah Jazz at Chicago Bulls Box Score, January 14, 2026",2026-01-20T14:51:53.708623,box-UTA-game-basic
