0,1,2,3
Detroit Pistons,(21-5),F,$
Cleveland Cavaliers,(15-13),F,$
Chicago Bulls,(11-15),F,$
Milwaukee Bucks,(11-16),F,$
Indiana Pacers,(6-20),F,$
