Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Paolo Banchero,22,5,5,197,14.5,33.2,0.435,3.2,7.2,0.444,11.3,26.0,0.433,0.484,7.2,11.0,0.659,3.2,8.0,11.3,5.6,0.8,1.1,4.0,4.8,39.4,105,117,
2,Franz Wagner,23,5,5,195,13.8,31.1,0.443,1.9,10.0,0.189,11.9,21.1,0.564,0.474,5.4,7.0,0.769,0.8,5.7,6.5,7.6,1.6,0.5,2.7,4.3,34.9,108,118,
3,Kentavious Caldwell-Pope,31,5,5,163,2.6,9.7,0.267,1.9,7.5,0.261,0.6,2.3,0.286,0.367,1.0,1.3,0.75,0.3,4.5,4.9,2.9,2.3,1.0,0.6,3.6,8.1,92,116,
4,Wendell Carter Jr.,25,5,5,162,6.8,13.0,0.525,1.0,3.6,0.273,5.9,9.5,0.621,0.563,2.0,3.3,0.6,6.2,11.4,17.6,2.0,0.7,0.7,2.6,3.9,16.6,113,116,
5,Cory Joseph,33,5,5,124,4.3,10.2,0.417,2.1,6.8,0.313,2.1,3.4,0.625,0.521,0.0,0.0,,0.4,3.4,3.8,6.4,2.1,0.9,0.9,4.3,10.6,118,117,
6,Anthony Black,21,5,0,89,8.9,22.0,0.405,1.2,7.7,0.154,7.7,14.2,0.542,0.432,5.3,7.7,0.692,5.9,7.1,13.1,0.0,2.4,0.6,1.2,4.7,24.3,106,115,
7,Gary Harris,30,5,0,83,1.9,5.1,0.375,0.6,3.8,0.167,1.3,1.3,1.0,0.438,0.0,0.0,,0.6,2.5,3.2,1.9,1.9,0.6,0.0,4.5,4.5,111,119,
8,Jonathan Isaac,27,5,0,69,5.4,9.2,0.583,0.8,3.1,0.25,4.6,6.1,0.75,0.625,2.3,3.8,0.6,3.8,3.8,7.7,1.5,1.5,0.8,1.5,2.3,13.8,124,119,
9,Cole Anthony,24,5,0,51,4.1,14.5,0.286,0.0,6.2,0.0,4.1,8.3,0.5,0.286,3.1,4.1,0.75,3.1,4.1,7.2,6.2,0.0,1.0,9.3,12.4,11.4,62,121,
10,Caleb Houstan,22,5,0,47,2.2,15.7,0.143,2.2,11.2,0.2,0.0,4.5,0.0,0.214,0.0,0.0,,2.2,2.2,4.5,1.1,0.0,1.1,2.2,3.4,6.7,52,123,
11,Goga Bitadze,25,3,0,11,4.8,4.8,1.0,0.0,0.0,,4.8,4.8,1.0,1.0,0.0,0.0,,0.0,14.4,14.4,4.8,0.0,4.8,0.0,28.8,9.6,205,110,
12,Tristan Da Silva,23,2,0,5,0.0,10.6,0.0,0.0,10.6,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,42.2,42.2,10.6,0.0,0.0,21.1,0.0,0.0,17,100,
13,Jett Howard,21,1,0,4,26.4,26.4,1.0,26.4,26.4,1.0,0.0,0.0,,1.5,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,79.2,300,125,
