Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Paolo Banchero,22.0,5,5,197,54,124,0.435,12,27,0.444,42,97,0.433,0.484,27,41,0.659,12,30,42,21,3,4,15,18,147,0,
2.0,Franz Wagner,23.0,5,5,195,51,115,0.443,7,37,0.189,44,78,0.564,0.474,20,26,0.769,3,21,24,28,6,2,10,16,129,0,
3.0,Kentavious Caldwell-Pope,31.0,5,5,163,8,30,0.267,6,23,0.261,2,7,0.286,0.367,3,4,0.75,1,14,15,9,7,3,2,11,25,0,
4.0,Wendell Carter Jr.,25.0,5,5,162,21,40,0.525,3,11,0.273,18,29,0.621,0.563,6,10,0.6,19,35,54,6,2,2,8,12,51,0,
5.0,Cory Joseph,33.0,5,5,124,10,24,0.417,5,16,0.313,5,8,0.625,0.521,0,0,,1,8,9,15,5,2,2,10,25,0,
6.0,Anthony Black,21.0,5,0,89,15,37,0.405,2,13,0.154,13,24,0.542,0.432,9,13,0.692,10,12,22,0,4,1,2,8,41,0,
7.0,Gary Harris,30.0,5,0,83,3,8,0.375,1,6,0.167,2,2,1.0,0.438,0,0,,1,4,5,3,3,1,0,7,7,0,
8.0,Jonathan Isaac,27.0,5,0,69,7,12,0.583,1,4,0.25,6,8,0.75,0.625,3,5,0.6,5,5,10,2,2,1,2,3,18,0,
9.0,Cole Anthony,24.0,5,0,51,4,14,0.286,0,6,0.0,4,8,0.5,0.286,3,4,0.75,3,4,7,6,0,1,9,12,11,0,
10.0,Caleb Houstan,22.0,5,0,47,2,14,0.143,2,10,0.2,0,4,0.0,0.214,0,0,,2,2,4,1,0,1,2,3,6,0,
11.0,Goga Bitadze,25.0,3,0,11,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,3,3,1,0,1,0,6,2,0,
12.0,Tristan Da Silva,23.0,2,0,5,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,4,4,1,0,0,2,0,0,0,
13.0,Jett Howard,21.0,1,0,4,2,2,1.0,2,2,1.0,0,0,,1.5,0,0,,0,0,0,0,0,0,0,1,6,0,
,Team Totals,,5,5,1200,178,422,0.422,41,156,0.263,137,266,0.515,0.47,71,103,0.689,57,142,199,93,32,19,54,107,468,0,
