Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,21,PG,66,66,2262,10.3,21.5,0.479,3.1,8.7,0.35,7.2,12.8,0.567,0.55,5.5,7.5,0.73,0.9,7.5,8.4,9.0,1.0,0.6,4.5,2.4,29.1,"MVP-6,AS,NBA1"
2,Tim Hardaway Jr.,28,SG,70,31,1985,7.4,16.5,0.447,3.8,9.6,0.391,3.6,6.9,0.524,0.56,2.6,3.2,0.816,0.4,3.8,4.2,2.3,0.6,0.2,1.2,2.0,21.1,6MOY-5
3,Dorian Finney-Smith,27,PF,60,60,1921,4.1,8.7,0.472,2.2,5.7,0.394,1.9,3.1,0.616,0.6,0.6,0.8,0.756,1.8,4.3,6.1,1.9,1.0,0.5,0.9,2.6,11.1,
4,Josh Richardson,27,SG,59,56,1790,5.3,12.4,0.427,1.8,5.4,0.33,3.5,7.1,0.501,0.498,2.0,2.2,0.917,1.0,2.9,3.9,3.1,1.2,0.5,1.6,2.6,14.4,
5,Jalen Brunson,24,PG,68,12,1697,7.0,13.3,0.523,1.7,4.2,0.405,5.2,9.1,0.578,0.588,2.5,3.2,0.795,0.6,4.3,4.9,5.1,0.7,0.0,1.7,2.3,18.2,6MOY-4
6,Maxi Kleber,29,PF,50,40,1341,3.1,7.4,0.422,2.3,5.7,0.41,0.8,1.7,0.46,0.58,0.9,1.0,0.919,1.3,5.7,7.0,1.8,0.6,0.9,0.8,2.8,9.5,
7,Kristaps Porziņģis,25,C,43,43,1327,8.8,18.5,0.476,2.6,7.0,0.376,6.2,11.5,0.536,0.547,3.2,3.7,0.855,2.2,8.1,10.3,1.8,0.5,1.6,1.4,3.1,23.5,
8,Dwight Powell,29,C,58,19,966,4.5,7.2,0.619,0.2,0.8,0.238,4.3,6.4,0.665,0.631,3.6,4.6,0.782,3.0,5.7,8.7,2.3,1.3,1.1,1.5,5.0,12.7,
9,Trey Burke,28,PG,62,1,911,6.0,13.9,0.428,2.3,6.5,0.354,3.7,7.5,0.492,0.51,2.0,2.3,0.895,0.4,1.7,2.1,3.2,1.4,0.3,1.3,2.5,16.2,
10,Willie Cauley-Stein,27,C,53,16,906,4.6,7.2,0.632,0.0,0.4,0.091,4.5,6.8,0.667,0.635,1.9,3.1,0.628,2.6,6.8,9.4,1.4,0.8,1.7,1.2,5.1,11.1,
11,James Johnson,33,PF,29,1,504,4.8,10.4,0.462,1.1,4.3,0.25,3.7,6.1,0.612,0.514,1.2,2.1,0.586,1.0,5.1,6.1,3.6,1.7,1.6,1.9,4.2,11.9,
12,Josh Green,20,SG,39,5,445,3.4,7.5,0.452,0.3,2.0,0.16,3.1,5.5,0.559,0.473,1.1,1.9,0.565,2.3,4.0,6.3,2.3,1.3,0.2,1.4,2.8,8.2,
13,Nicolò Melli,30,PF,23,4,325,3.4,9.1,0.378,1.8,5.3,0.333,1.7,3.8,0.441,0.476,1.4,2.0,0.722,1.9,5.3,7.2,2.1,0.6,0.2,0.6,3.3,10.1,
14,Wes Iwundu,26,SF,23,3,288,2.1,6.5,0.327,0.4,2.9,0.13,1.7,3.6,0.483,0.356,1.5,1.7,0.857,0.7,4.7,5.5,1.2,1.1,0.4,0.7,3.2,6.1,
15,Boban Marjanović,32,C,33,3,271,8.2,16.2,0.508,0.1,1.1,0.125,8.1,15.1,0.535,0.512,4.1,5.0,0.816,6.2,10.8,17.0,1.3,0.3,0.8,1.6,3.9,20.7,
16,JJ Redick,36,SG,13,0,147,4.7,13.0,0.358,3.7,9.3,0.395,1.0,3.7,0.267,0.5,1.0,1.2,0.8,0.2,2.7,2.9,2.7,0.5,0.2,2.7,3.2,14.0,
17,Nate Hinton,21,SG,21,0,93,5.8,16.3,0.357,1.5,7.4,0.211,4.3,8.9,0.478,0.405,2.7,3.9,0.7,0.4,3.1,3.5,3.1,2.7,0.8,1.9,3.1,15.9,
18,Tyler Bey,22,SF,18,0,71,3.5,11.2,0.318,0.5,2.0,0.25,3.0,9.1,0.333,0.341,1.5,2.5,0.6,4.1,5.6,9.6,1.5,0.0,0.5,1.5,3.0,9.1,
19,Tyrell Terry,20,PG,11,0,56,3.2,10.3,0.313,0.0,4.5,0.0,3.2,5.8,0.556,0.313,0.6,1.9,0.333,0.0,3.9,3.9,3.9,3.2,0.0,1.3,1.3,7.1,
