Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Luka Dončić,21,PG,7,7,281,12.3,25.1,0.49,4.0,9.7,0.408,8.3,15.4,0.542,0.569,3.5,6.5,0.529,0.5,6.5,7.0,9.2,1.2,0.4,4.1,2.2,32.0,
2,Dorian Finney-Smith,27,PF,7,7,271,3.5,8.5,0.406,2.1,4.9,0.432,1.3,3.6,0.37,0.531,0.5,0.7,0.8,2.3,3.9,6.1,2.0,1.1,0.3,1.6,3.1,9.6,
3,Tim Hardaway Jr.,28,SG,7,7,262,5.8,13.9,0.416,3.2,7.8,0.404,2.6,6.0,0.432,0.53,1.6,2.2,0.75,0.7,2.5,3.2,1.4,0.4,0.0,0.8,2.3,16.4,
4,Kristaps Porziņģis,25,C,7,7,233,5.3,11.1,0.472,1.2,4.2,0.296,4.0,7.0,0.578,0.528,2.5,2.9,0.842,1.1,4.8,5.9,1.4,1.4,0.8,0.5,2.9,14.2,
5,Maxi Kleber,29,PF,7,4,187,2.3,5.8,0.4,1.5,3.9,0.4,0.8,1.9,0.4,0.533,1.0,1.3,0.714,1.0,3.9,4.8,1.9,0.6,0.0,0.2,3.7,7.1,
6,Jalen Brunson,24,PG,7,0,114,6.3,13.9,0.455,1.9,4.1,0.462,4.4,9.8,0.452,0.523,3.2,4.1,0.769,1.9,3.8,5.7,3.2,0.0,0.0,1.3,1.9,17.7,
7,Josh Richardson,27,SG,7,0,94,4.2,10.7,0.393,1.1,3.8,0.3,3.1,6.9,0.444,0.446,3.4,3.4,1.0,1.1,3.1,4.2,1.9,0.8,0.0,2.3,3.1,13.0,
8,Boban Marjanović,32,C,4,3,83,8.7,16.9,0.513,0.0,0.0,,8.7,16.9,0.513,0.513,3.0,3.9,0.778,6.1,7.8,13.9,1.7,0.0,0.4,1.7,5.6,20.4,
9,Willie Cauley-Stein,27,C,6,0,63,3.4,5.1,0.667,0.0,0.0,,3.4,5.1,0.667,0.667,1.7,1.7,1.0,1.7,7.4,9.1,1.7,1.1,2.3,1.7,4.6,8.6,
10,Dwight Powell,29,C,7,0,52,4.8,5.5,0.875,0.0,0.0,,4.8,5.5,0.875,0.875,3.5,4.2,0.833,3.5,5.5,9.0,4.2,1.4,0.0,0.7,5.5,13.2,
11,Nicolò Melli,30,PF,3,0,19,0.0,7.6,0.0,0.0,3.8,0.0,0.0,3.8,0.0,0.0,0.0,0.0,,3.8,7.6,11.4,0.0,1.9,0.0,0.0,5.7,0.0,
12,Trey Burke,28,PG,2,0,17,0.0,14.8,0.0,0.0,6.4,0.0,0.0,8.5,0.0,0.0,2.1,4.2,0.5,2.1,0.0,2.1,2.1,0.0,0.0,0.0,2.1,2.1,
13,Josh Green,20,SG,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
