Rk,Unnamed: 1,Salary
1,Stephen Curry,"$45,780,966"
2,Klay Thompson,"$37,980,720"
3,Andrew Wiggins,"$31,579,390"
4,Draymond Green,"$24,026,712"
5,James Wiseman,"$9,166,800"
6,Jonathan Kuminga,"$5,466,360"
7,Kevon Looney,"$5,178,572"
8,Moses Moody,"$3,562,080"
9,Andre Iguodala,"$2,641,691"
10,Otto Porter,"$2,389,641"
11,Jordan Poole,"$2,161,440"
12,Nemanja Bjelica,"$2,089,448"
13,Gary Payton,"$1,939,350"
14,Damion Lee,"$1,910,860"
15,Juan Toscano-Anderson,"$1,701,593"
16,Shaun Livingston,"$666,667"
17,Quinndary Weatherspoon,"$95,930"
18,Jeff Dowtin,$0
19,Chris Chiozza,$0
