Rk,Unnamed: 1,Salary
1,Karl-Anthony Towns,"$31,650,600"
2,D'Angelo Russell,"$30,013,500"
3,Malik Beasley,"$14,391,964"
4,Patrick Beverley,"$14,320,988"
5,Taurean Prince,"$13,000,000"
6,Anthony Edwards,"$10,245,480"
7,Josh Okogie,"$4,087,904"
8,Jarred Vanderbilt,"$4,000,000"
9,Jake Layman,"$3,940,184"
10,Leandro Bolmaro,"$2,353,320"
11,Jaden McDaniels,"$2,063,280"
12,Jordan McLaughlin,"$2,000,000"
13,Jaylen Nowell,"$1,782,621"
14,Naz Reid,"$1,782,621"
15,Greg Monroe,"$193,227"
16,Chris Silva,"$95,930"
17,Rayjon Tucker,"$95,930"
18,Nathan Knight,$0
19,McKinley Wright,$0
