Rk,Unnamed: 1,Salary
1,Lauri Markkanen,"$46,394,100"
2,Jusuf Nurkić,"$19,375,000"
3,Jordan Clarkson,"$14,285,714"
4,Kyle Anderson,"$9,219,512"
5,Ace Bailey,"$9,069,840"
6,Georges Niang,"$8,200,000"
7,Taylor Hendricks,"$6,127,080"
8,Cody Williams,"$5,742,480"
9,Walker Kessler,"$4,878,938"
10,Keyonte George,"$4,278,960"
11,Kevin Love,"$4,150,000"
12,Walter Clayton,"$3,991,320"
13,Svi Mykhailiuk,"$3,675,000"
14,Kyle Filipowski,"$3,000,000"
15,Brice Sensabaugh,"$2,693,760"
16,Isaiah Collier,"$2,638,200"
