Player,Team,Update,Description
Walker Kessler,Utah Jazz,"Wed, Nov 5, 2025","Out For Season (Shoulder) - Kessler will undergo left shoulder surgery to address a torn labrum and will miss the remainder of the 2025-26 season, as per Tony Jones of The Athletic."
Walker Kessler,Utah Jazz,"Wed, Dec 17, 2025",Out (Shoulder) - The Jazz listed Kessler as Out on Thursday's (Dec. 18) game against the Lakers.
Lauri Markkanen,Utah Jazz,"Wed, Dec 17, 2025",Day To Day (Groin) - The Jazz listed Markkanen as Questionable on Thursday's (Dec. 18) game against the Lakers.
Georges Niang,Utah Jazz,"Mon, Dec 15, 2025",Out (Foot) - The Jazz announced Monday (Dec. 15) that Niang will be re-evaluated in two weeks.
