Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Lauri Markkanen,28.0,24,24,848,223,475,0.469,70,199,0.352,153,276,0.554,0.543,151,169,0.893,51,118,169,51,23,10,32,43,667,0,
2.0,Keyonte George,22.0,25,25,843,183,407,0.45,58,165,0.352,125,242,0.517,0.521,163,180,0.906,12,89,101,169,21,7,87,63,587,0,
3.0,Svi Mykhailiuk,28.0,24,24,623,81,171,0.474,44,118,0.373,37,53,0.698,0.602,7,8,0.875,16,47,63,51,11,3,22,34,213,0,
4.0,Ace Bailey,19.0,25,16,590,99,227,0.436,36,103,0.35,63,124,0.508,0.515,17,22,0.773,34,47,81,43,19,10,34,65,251,0,
5.0,Jusuf Nurkić,31.0,23,18,557,79,171,0.462,7,34,0.206,72,137,0.526,0.482,28,55,0.509,56,164,220,89,34,9,57,70,193,0,
6.0,Kyle Filipowski,22.0,24,8,554,86,179,0.48,23,68,0.338,63,111,0.568,0.545,44,60,0.733,40,113,153,56,13,12,29,68,239,0,
7.0,Brice Sensabaugh,22.0,24,1,383,70,168,0.417,36,104,0.346,34,64,0.531,0.524,28,33,0.848,15,44,59,30,16,5,20,45,204,0,
8.0,Isaiah Collier,21.0,17,1,361,42,84,0.5,5,16,0.313,37,68,0.544,0.53,37,54,0.685,3,31,34,93,9,6,33,30,126,0,
9.0,Walter Clayton,22.0,21,0,348,46,109,0.422,17,57,0.298,29,52,0.558,0.5,23,24,0.958,10,37,47,73,10,4,30,41,132,0,
10.0,Kevin Love,37.0,15,0,225,32,73,0.438,19,53,0.358,13,20,0.65,0.568,14,18,0.778,21,47,68,26,5,5,11,26,97,0,
11.0,Taylor Hendricks,22.0,14,3,207,27,62,0.435,12,31,0.387,15,31,0.484,0.532,11,15,0.733,20,31,51,8,5,4,7,9,77,0,
12.0,Cody Williams,21.0,14,0,180,18,49,0.367,3,22,0.136,15,27,0.556,0.398,1,4,0.25,4,9,13,8,3,2,5,22,40,0,
13.0,Kyle Anderson,32.0,9,0,161,24,49,0.49,1,1,1.0,23,48,0.479,0.5,11,15,0.733,7,16,23,28,13,3,9,23,60,0,
14.0,Walker Kessler,24.0,5,5,154,26,37,0.703,6,8,0.75,20,29,0.69,0.784,14,20,0.7,23,31,54,15,7,9,16,22,72,0,
15.0,Elijah Harkless,25.0,7,0,66,4,11,0.364,2,7,0.286,2,4,0.5,0.455,7,9,0.778,2,4,6,5,4,0,3,10,17,0,
,Team Totals,,25,25,6100,1040,2272,0.458,339,986,0.344,701,1286,0.545,0.532,556,686,0.81,314,828,1142,745,193,89,395,571,2975,0,
