Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Team,27.0,6505,1160,2396,0.484,316,870,0.363,844,1526,0.553,480,627,0.766,289,857,1146,798,240,117,401,591,3116
Team/G,,240.9,43.0,88.7,0.484,11.7,32.2,0.363,31.3,56.5,0.553,17.8,23.2,0.766,10.7,31.7,42.4,29.6,8.9,4.3,14.9,21.9,115.4
Lg Rank,,7,8,21,7.0,25,26,13.0,5,6,13.0,24,23,25.0,21,22,23,3,9,21,13,22,18
Year/Year,,-0.2%,3.2%,-2.5%,0.027,-1.0%,-5.2%,0.015,4.8%,-0.9%,0.03,12.7%,10.1%,0.017,-15.1%,-2.4%,-5.9%,3.6%,9.8%,2.1%,-3.1%,3.3%,4.1%
Opponent,27.0,6505,1078,2322,0.464,339,1010,0.336,739,1312,0.563,562,711,0.79,314,858,1172,671,230,161,434,530,3057
Opponent/G,,240.9,39.9,86.0,0.464,12.6,37.4,0.336,27.4,48.6,0.563,20.8,26.3,0.79,11.6,31.8,43.4,24.9,8.5,6.0,16.1,19.6,113.2
Lg Rank,,7,5,3,11.0,6,18,3.0,6,5,25.0,24,24,15.0,19,12,14,7,15,27,6,24,7
Year/Year,,-0.2%,-3.1%,-2.6%,-0.002,-4.6%,-0.8%,-0.013,-2.3%,-4.0%,0.009,6.0%,4.3%,0.013,1.4%,-5.2%,-3.5%,-4.1%,-7.1%,1.0%,6.5%,8.5%,-1.7%
