Player,Team,Update,Description
OG Anunoby,New York Knicks,"Wed, Dec 17, 2025",Day To Day (Knee) - The Knicks listed Anunoby as Questionable for Thursday's (Dec. 18) game against the Pacers.
Josh Hart,New York Knicks,"Wed, Dec 17, 2025",Day To Day (Ankle) - The Knicks listed Hart as Questionable for Thursday's (Dec. 18) game against the Pacers.
Miles McBride,New York Knicks,"Thu, Dec 11, 2025","Out (Ankle) - McBride will be re-evaluated in one week, according to Kristian Winfield of the New York Daily News reports."
Mitchell Robinson,New York Knicks,"Wed, Dec 17, 2025",Day To Day (Ankle) - The Knicks listed Robinson as Questionable for Thursday's (Dec. 18) game against the Pacers.
Landry Shamet,New York Knicks,"Wed, Nov 26, 2025","Out (Shoulder) - Shamet will be re-evaluated in four weeks, Shams Charania of ESPN reports."
Karl-Anthony Towns,New York Knicks,"Wed, Dec 17, 2025",Day To Day (Knee) - The Knicks listed Towns as Questionable for Thursday's (Dec. 18) game against the Pacers.
