Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Draft,Draft,Draft,Draft,Unnamed: 7_level_0,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats
Unnamed: 0_level_1,Age,Unnamed: 2_level_1,Yr,Tm,Rd,Pk,Unnamed: 7_level_1,Team,Lg,Unnamed: 10_level_1,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Hugo Besson,24,,2022,IND,2,58,,,TUR,tu,11,22.0,3.8,8.4,.457,1.3,4.3,.298,2.5,3.0,.848,0.6,2.1,2.7,2.0,0.8,0.1,1.6,2.1,11.5
Dani Díez,32,,2015,UTA,2,54,,Longevida San Pablo Burgos,,es,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Dani Díez,32,,2015,UTA,2,54,,,SPA,es,8,23.1,2.9,7.0,.411,1.6,4.6,.351,1.4,1.5,.917,1.6,2.6,4.3,1.5,0.3,0.0,0.9,0.5,8.8
Bojan Dubljević,34,,2013,MIN,2,59,,,SPA,es,9,22.6,2.3,6.1,.382,0.3,2.7,.125,1.2,1.6,.786,2.2,4.1,6.3,2.1,0.8,0.3,1.9,2.2,6.2
Ognjen Jaramaz,30,,2017,NYK,2,58,,Saski Baskonia,,es,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Rokas Jokubaitis,25,,2021,OKC,2,34,,Bayern Munich,,de,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Sergio Llull,38,,2009,DEN,2,34,,,SPA,es,10,16.5,2.3,6.6,.348,1.1,4.1,.268,1.4,1.4,1.000,0.3,1.0,1.3,1.8,0.6,0.0,0.6,1.5,7.1
Luka Mitrović,32,,2015,PHI,2,60,,Crvena Zvezda,,rs,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
James Nnaji,21,,2023,DET,2,31,,FC Barcelona,,es,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Emir Preldžić,38,,2009,PHO,2,57,,KK Orlovik Žepče,,ba,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Nikola Radičević,31,,2015,DEN,2,57,,Dziki Warsaw,,pl,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Wang Zhelin,32,,2016,MEM,2,57,,Shanghai Sharks,,cn,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Juan Pablo Vaulet,29,,2015,CHO,2,39,,Zunder Palencia,,es,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
