Player,Team,Update,Description
Giannis Antetokounmpo,Milwaukee Bucks,"Thu, Dec 4, 2025","Out (Calf) - Antetokounmpo is expected to be sidelined for two-to-four weeks, as per ESPN's Shams Charania reports."
Cole Anthony,Milwaukee Bucks,"Wed, Dec 17, 2025",Day To Day (Neck) - The Bucks listed Anthony as Questionable on Thursday's (Dec.18) game against the Raptors.
A.J. Green,Milwaukee Bucks,"Wed, Dec 17, 2025",Day To Day (Shoulder) - The Bucks listed Green as Questionable on Thursday's (Dec.18) game against the Raptors.
Kyle Kuzma,Milwaukee Bucks,"Wed, Dec 17, 2025",Day To Day (Illness) - The Bucks listed Kuzma as Questionable on Thursday's (Dec.18) game against the Raptors.
Taurean Prince,Milwaukee Bucks,"Thu, Nov 13, 2025",Out (Neck) - The Team announce that Prince underwent surgery Thursday (Nov. 13) to repair the herniated disc in his neck and will remain out indefinitely.
