Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Donovan Mitchell,29.0,SG,26,26,895,28,55,16,0,0,5.9,11.2,52,27,23,4,64,5,345,14,15,
2.0,Evan Mobley,24.0,PF,25,25,854,0,0,0,28,72,6.2,10.8,22,27,45,3,68,1,255,13,17,
3.0,De'Andre Hunter,28.0,SF,24,23,686,0,7,60,33,0,-2.8,-10.0,18,18,25,1,35,7,132,11,14,
4.0,Jaylon Tyson,23.0,SG,23,17,652,0,25,65,10,0,2.4,0.3,14,4,38,3,18,2,111,6,10,
5.0,Dean Wade,29.0,PF,26,5,586,0,0,5,78,17,3.7,2.6,1,4,30,1,12,5,106,3,4,
6.0,Lonzo Ball,28.0,PG,21,3,497,46,51,2,0,0,1.3,-1.5,28,6,19,2,2,0,230,0,5,
7.0,Jarrett Allen,27.0,C,17,17,442,0,0,0,0,100,5.4,4.8,10,12,16,4,25,4,72,5,18,
8.0,Craig Porter Jr.,25.0,PG,25,0,411,100,0,0,0,0,3.4,1.8,15,3,20,0,4,3,147,2,6,
9.0,Darius Garland,26.0,PG,12,12,360,92,8,0,0,0,-8.8,-14.9,23,9,11,0,20,5,185,2,8,
10.0,Sam Merrill,29.0,SG,12,8,311,0,69,28,3,0,5.3,4.1,5,1,16,2,3,8,63,1,0,
11.0,Nae'Qwan Tomlin,25.0,PF,19,2,304,0,0,36,60,4,10.8,11.0,3,2,20,1,10,1,28,0,7,
12.0,Larry Nance Jr.,33.0,PF,16,2,240,0,0,26,69,4,-5.1,-8.8,4,1,20,3,2,4,50,1,4,
13.0,Tyrese Proctor,21.0,PG,20,0,236,54,46,1,0,0,-4.1,-7.6,2,2,4,3,9,3,68,0,6,
14.0,Thomas Bryant,28.0,C,21,0,180,0,0,0,0,100,-3.8,-6.9,3,2,14,1,10,1,11,4,4,
15.0,Luke Travers,24.0,SG,11,0,97,0,48,52,0,0,-12.7,-16.0,1,0,1,1,5,0,21,1,3,
16.0,Chris Livingston,22.0,SF,3,0,17,0,0,100,0,0,19.6,17.6,0,0,1,0,1,0,2,1,0,
,Team Totals,,,28,28,6768,20,20,20,20,20,2.2,1.3,201,118,303,29,288,49,1826,64,121,
