Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Draft,Draft,Draft,Draft,Unnamed: 7_level_0,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats,2025-26 Stats
Unnamed: 0_level_1,Age,Unnamed: 2_level_1,Yr,Tm,Rd,Pk,Unnamed: 7_level_1,Team,Lg,Unnamed: 10_level_1,G,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Khalifa Diop,24,,2022,CLE,2,39,,,ELG,es,16,17.6,1.8,2.4,.718,0.0,0.0,,0.4,1.1,.389,1.6,2.7,4.3,0.7,0.5,0.7,0.8,2.7,3.9
Artūras Gudaitis,32,,2015,PHI,2,47,,Rytas Vilnius,,lt,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Chukwudiebere Maduabum,34,,2011,LAL,2,56,,Veertien Mie,,jp,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.,Statistics not available.
Saliou Niang,21,,2025,CLE,2,58,,,ELG,it,16,18.9,2.8,3.9,.710,0.1,0.1,1.000,1.0,1.3,.800,1.8,2.6,4.3,1.8,0.6,0.2,1.4,2.3,6.6
