Player,Team,Update,Description
Sam Merrill,Cleveland Cavaliers,"Thu, Dec 18, 2025",Day To Day (Hand) - Merrill did not play on Wednesday's (Dec. 17) game against the Bulls.
Evan Mobley,Cleveland Cavaliers,"Sat, Dec 13, 2025",Out (Calf) - The Cavaliers reported on Saturday (Dec. 13) that Mobley is expected to miss 2-4 weeks due to a Grade 1 left calf strain.
Larry Nance Jr.,Cleveland Cavaliers,"Sun, Nov 30, 2025",Out (Calf) - The Cavaliers reported Nance Jr. to miss at least 3-4 weeks with a calf strain.
Max Strus,Cleveland Cavaliers,"Tue, Sep 30, 2025","Out (Foot) - Strus is no longer wearing a walking boot Tuesday (Sept. 30) but still has a lengthy recovery process ahead due to the surgery on his fractured left foot, per Chris Fedor of The Cleveland Plain Dealer."
