Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Royce O'Neale,27,SF,71,71,2241,2.8,6.3,0.444,1.7,4.5,0.385,1.1,1.9,0.586,0.58,0.6,0.7,0.848,1.4,6.4,7.8,2.9,0.9,0.5,1.3,2.9,8.0,
2,Bojan Bogdanović,31,SF,72,72,2216,6.6,15.0,0.439,2.9,7.5,0.39,3.7,7.5,0.487,0.536,3.8,4.3,0.879,0.6,3.9,4.6,2.2,0.7,0.1,2.1,1.9,19.9,
3,Rudy Gobert,28,C,71,71,2187,6.4,9.5,0.675,0.0,0.1,0.0,6.4,9.5,0.68,0.675,3.8,6.2,0.623,4.0,11.9,15.8,1.5,0.7,3.1,1.9,2.7,16.7,"MVP-10,DPOY-1,AS,NBA3,DEF1"
4,Joe Ingles,33,SF,67,30,1867,5.3,10.8,0.489,3.5,7.8,0.451,1.8,3.0,0.59,0.652,1.5,1.7,0.844,0.5,4.2,4.7,6.1,0.9,0.2,2.3,2.3,15.6,6MOY-2
5,Jordan Clarkson,28,SG,68,1,1818,9.0,21.3,0.425,4.1,11.9,0.347,4.9,9.4,0.523,0.522,2.6,2.9,0.896,0.9,4.5,5.4,3.3,1.2,0.2,2.3,2.2,24.8,6MOY-1
6,Donovan Mitchell,24,PG,53,53,1771,9.7,22.2,0.438,3.6,9.4,0.386,6.1,12.8,0.476,0.52,5.4,6.4,0.845,1.0,3.8,4.8,5.6,1.1,0.3,3.0,2.4,28.5,AS
7,Mike Conley,33,PG,51,51,1498,6.8,15.4,0.444,3.3,8.1,0.412,3.5,7.3,0.479,0.552,2.9,3.4,0.852,0.9,3.4,4.3,7.3,1.7,0.2,2.4,2.4,19.9,AS
8,Georges Niang,27,PF,72,10,1154,5.5,12.6,0.437,3.9,9.1,0.425,1.7,3.5,0.469,0.59,0.7,0.7,0.957,0.9,4.6,5.5,1.8,0.8,0.2,1.6,3.6,15.6,
9,Derrick Favors,29,C,68,0,1039,5.4,8.4,0.638,0.0,0.1,0.0,5.4,8.4,0.643,0.638,2.0,2.8,0.738,4.8,8.2,13.0,1.5,1.1,2.4,1.2,5.0,12.8,
10,Miye Oni,23,SG,54,0,519,2.4,6.9,0.354,2.1,6.1,0.341,0.3,0.8,0.455,0.505,0.3,0.4,0.833,1.6,4.2,5.8,1.9,0.8,0.6,1.1,4.2,7.3,
11,Trent Forrest,22,PG,30,0,302,3.8,8.5,0.451,0.6,3.1,0.192,3.2,5.4,0.6,0.486,2.3,2.3,1.0,1.3,3.9,5.2,5.4,1.1,0.5,2.5,2.6,10.5,
12,Ersan İlyasova,33,PF,17,1,148,5.1,13.1,0.389,4.4,10.0,0.439,0.7,3.2,0.231,0.556,1.2,1.2,1.0,1.7,5.4,7.1,1.0,2.4,0.7,1.9,7.1,15.8,
13,Juwan Morgan,23,PF,29,0,147,3.4,7.3,0.467,1.0,3.2,0.308,2.4,4.2,0.588,0.533,0.7,1.7,0.429,2.2,4.7,6.9,2.2,1.0,0.2,1.0,5.1,8.6,
14,Jarrell Brantley,24,PF,28,0,138,6.5,13.6,0.481,3.1,7.3,0.429,3.4,6.3,0.542,0.596,0.5,0.5,1.0,2.3,4.7,7.0,3.9,1.8,0.5,2.1,4.4,16.7,
15,Matt Thomas,26,SG,19,0,134,7.0,17.5,0.4,2.7,10.5,0.256,4.3,7.0,0.615,0.477,1.6,1.9,0.857,1.1,5.1,6.2,2.7,0.5,0.0,2.1,2.1,18.3,
16,Elijah Hughes,22,SF,18,0,64,5.6,16.9,0.333,4.5,12.9,0.348,1.1,3.9,0.286,0.467,1.7,2.3,0.75,0.6,4.5,5.1,3.4,0.6,0.6,3.4,0.6,17.4,
17,Udoka Azubuike,21,C,15,0,57,2.5,5.7,0.444,0.0,0.0,,2.5,5.7,0.444,0.444,5.1,6.3,0.8,2.5,5.7,8.2,0.0,0.6,2.5,1.9,5.7,10.1,
18,Shaquille Harrison,27,SG,17,0,56,3.9,12.9,0.3,0.0,1.3,0.0,3.9,11.6,0.333,0.3,3.2,3.9,0.833,1.9,3.9,5.8,5.8,1.3,0.0,3.2,1.9,10.9,
