Rk,Unnamed: 1,Salary
1,Mike Conley,"$34,504,132"
2,Rudy Gobert,"$27,525,281"
3,Bojan Bogdanović,"$17,661,000"
4,Jordan Clarkson,"$11,500,000"
5,Joe Ingles,"$10,863,637"
6,Derrick Favors,"$9,258,000"
7,Royce O'Neale,"$8,500,000"
8,Donovan Mitchell,"$5,195,501"
9,Udoka Azubuike,"$1,977,000"
10,Georges Niang,"$1,783,557"
11,Matt Thomas,"$1,517,981"
12,Miye Oni,"$1,517,981"
13,Juwan Morgan,"$1,517,981"
14,Elijah Hughes,"$898,310"
15,Shaquille Harrison,"$770,433"
16,Ersan İlyasova,"$754,783"
17,Trent Forrest,$0
18,Jarrell Brantley,$0
