Rk,Unnamed: 1,Salary
1,Bradley Beal,"$43,279,250"
2,Kristaps Porziņģis,"$33,833,400"
3,Will Barton,"$14,375,000"
4,Kyle Kuzma,"$13,000,000"
5,Monte Morris,"$9,125,000"
6,Delon Wright,"$7,804,878"
7,Kendrick Nunn,"$5,250,000"
8,Deni Avdija,"$4,916,160"
9,Johnny Davis,"$4,810,320"
10,Corey Kispert,"$3,552,840"
11,Daniel Gafford,"$1,930,681"
12,Anthony Gill,"$1,836,090"
13,Taj Gibson,"$1,836,090"
14,Vernon Carey,"$1,782,621"
15,Isaiah Todd,"$1,575,000"
16,Jordan Goodwin,"$900,000"
17,Xavier Cooks,"$140,384"
18,Jamaree Bouyea,"$58,493"
19,Jordan Goodwin,
20,Jordan Schakel,
21,Devon Dotson,
22,Quenton Jackson,
23,Jay Huff,
