Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Ousmane Dieng,20.0,PF,4,0,7,0.5,1.0,0.0,0.5,,0.5,0.0,0.5,105,183.0,0.0,91,,86,0,127,
2.0,Luguentz Dort,24.0,SF,10,10,350,0.363,0.296,0.391,0.5,0.842,0.538,0.209,0.703,76,54.0,107.0,91,107.0,93,85,178,
3.0,Josh Giddey,21.0,SG,10,8,181,0.453,0.537,0.353,0.533,0.875,0.554,0.107,0.453,96,98.0,97.0,98,112.0,96,44,115,
4.0,Shai Gilgeous-Alexander,25.0,PG,10,10,399,0.496,0.508,0.432,0.531,0.79,0.582,0.362,0.165,104,93.0,118.0,97,101.0,100,148,42,
5.0,Gordon Hayward,33.0,SF,7,0,46,0.0,0.0,,0.0,,0.0,0.0,0.0,0,0.0,,0,,0,0,0,
6.0,Chet Holmgren,21.0,C,10,10,345,0.496,0.667,0.26,0.55,0.758,0.584,0.277,0.42,105,122.0,71.0,101,97.0,101,114,106,
7.0,Isaiah Joe,24.0,SG,10,2,173,0.444,0.533,0.41,0.593,,0.593,0.0,0.722,94,98.0,112.0,108,,102,0,183,
8.0,Cason Wallace,20.0,SG,10,0,198,0.39,0.538,0.321,0.5,0.5,0.501,0.049,0.683,82,99.0,88.0,91,64.0,86,20,173,
9.0,Lindy Waters III,26.0,SG,3,0,9,0.0,,0.0,0.0,,0.0,0.0,1.0,0,,0.0,0,,0,0,253,
10.0,Aaron Wiggins,25.0,SG,10,0,157,0.489,0.63,0.3,0.553,0.909,0.598,0.234,0.426,103,115.0,82.0,101,116.0,103,96,108,
11.0,Jalen Williams,22.0,PF,10,10,377,0.469,0.496,0.385,0.516,0.815,0.544,0.169,0.244,99,91.0,105.0,94,104.0,94,69,62,
12.0,Jaylin Williams,21.0,C,10,0,127,0.485,0.636,0.409,0.621,0.75,0.633,0.121,0.667,102,117.0,112.0,114,96.0,109,50,169,
13.0,Kenrich Williams,29.0,PF,7,0,32,0.25,0.667,0.0,0.25,,0.25,0.0,0.625,53,122.0,0.0,46,,43,0,158,
,Team Totals,,,10,10,2401,0.459,0.527,0.356,0.53,0.8,0.563,0.216,0.396,97,97.0,97.0,97,102.0,97,88,100,
