Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Shai Gilgeous-Alexander,25.0,10,10,399,111,224,0.496,16,37,0.432,95,187,0.508,0.531,64,81,0.79,8,64,72,64,13,17,22,31,302,0,
2.0,Jalen Williams,22.0,10,10,377,75,160,0.469,15,39,0.385,60,121,0.496,0.516,22,27,0.815,13,55,68,54,17,5,19,21,187,0,
3.0,Luguentz Dort,24.0,10,10,350,33,91,0.363,25,64,0.391,8,27,0.296,0.5,16,19,0.842,19,27,46,20,13,2,11,42,107,0,
4.0,Chet Holmgren,21.0,10,10,345,59,119,0.496,13,50,0.26,46,69,0.667,0.55,25,33,0.758,14,58,72,21,7,25,19,26,156,0,
5.0,Cason Wallace,20.0,10,0,198,16,41,0.39,9,28,0.321,7,13,0.538,0.5,1,2,0.5,7,6,13,10,9,2,4,14,42,0,
6.0,Josh Giddey,21.0,10,8,181,34,75,0.453,12,34,0.353,22,41,0.537,0.533,7,8,0.875,7,29,36,21,2,4,12,9,87,0,
7.0,Isaiah Joe,24.0,10,2,173,24,54,0.444,16,39,0.41,8,15,0.533,0.593,0,0,,4,18,22,10,5,0,5,10,64,0,
8.0,Aaron Wiggins,25.0,10,0,157,23,47,0.489,6,20,0.3,17,27,0.63,0.553,10,11,0.909,9,23,32,10,6,3,9,8,62,0,
9.0,Jaylin Williams,21.0,10,0,127,16,33,0.485,9,22,0.409,7,11,0.636,0.621,3,4,0.75,4,28,32,15,4,3,3,11,44,0,
10.0,Gordon Hayward,33.0,7,0,46,0,3,0.0,0,0,,0,3,0.0,0.0,0,0,,1,12,13,3,1,1,0,2,0,0,
11.0,Kenrich Williams,29.0,7,0,32,2,8,0.25,0,5,0.0,2,3,0.667,0.25,0,0,,1,7,8,3,1,0,0,3,4,0,
12.0,Lindy Waters III,26.0,3,0,9,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,1,1,0,0,0,0,0,0,0,
13.0,Ousmane Dieng,20.0,4,0,7,1,2,0.5,0,1,0.0,1,1,1.0,0.5,0,0,,0,0,0,0,0,0,0,0,2,0,
,Team Totals,,10,10,2401,394,858,0.459,121,340,0.356,273,518,0.527,0.53,148,185,0.8,87,328,415,231,78,62,104,177,1057,0,
