Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Al-Farouq Aminu,30.0,PF,6,0,67,0.2,0.25,0.167,0.25,0.8,0.369,0.5,0.6,43,47,45.0,46,103.0,65,203,153,-5.8,-5.0,
2.0,Ryan Arcidiacono,26.0,PG,44,0,450,0.419,0.48,0.373,0.526,0.65,0.541,0.171,0.573,90,91,102.0,98,84.0,95,69,146,-2.9,-7.9,
3.0,Troy Brown Jr.,21.0,SF,13,0,237,0.527,0.677,0.333,0.6,0.833,0.616,0.109,0.436,113,128,91.0,112,107.0,108,44,111,6.8,5.1,
4.0,Wendell Carter Jr.,21.0,C,32,25,792,0.512,0.526,0.364,0.528,0.739,0.578,0.44,0.087,110,99,99.0,98,95.0,101,178,22,-5.1,4.0,
5.0,Devon Dotson,21.0,PG,11,0,50,0.524,0.714,0.143,0.548,,0.548,0.0,0.333,112,135,39.0,102,,96,0,85,0.4,-1.0,
6.0,Cristiano Felício,28.0,C,18,0,84,0.538,0.636,0.0,0.538,0.563,0.574,1.231,0.154,116,120,0.0,100,72.0,100,499,39,0.0,0.1,
7.0,Daniel Gafford,22.0,C,31,11,383,0.69,0.69,,0.69,0.659,0.7,0.471,0.0,148,130,,128,85.0,122,191,0,26.4,26.9,
8.0,Javonte Green,27.0,SG,16,0,128,0.452,0.478,0.375,0.5,1.0,0.579,0.323,0.258,97,90,102.0,93,129.0,101,131,66,-2.4,0.5,
9.0,Chandler Hutchison,24.0,SF,7,0,64,0.278,0.267,0.333,0.306,1.0,0.344,0.111,0.167,60,50,91.0,57,129.0,60,45,43,-8.4,-8.6,
10.0,Luke Kornet,25.0,C,13,0,94,0.333,0.75,0.261,0.444,0.5,0.452,0.148,0.852,72,141,71.0,83,64.0,79,60,217,-5.0,-6.9,
11.0,Zach LaVine,25.0,SG,58,58,2034,0.507,0.571,0.419,0.596,0.849,0.634,0.265,0.425,109,108,114.0,111,109.0,111,108,108,129.8,156.8,AS
12.0,Lauri Markkanen,23.0,PF,51,26,1317,0.48,0.582,0.402,0.594,0.826,0.619,0.177,0.568,103,110,110.0,110,106.0,108,72,145,58.5,52.9,
13.0,Adam Mokoka,22.0,SG,14,0,56,0.368,0.667,0.1,0.395,0.0,0.386,0.053,0.526,79,126,27.0,73,0.0,67,21,134,-5.4,-7.2,
14.0,Otto Porter Jr.,27.0,SF,25,6,540,0.441,0.477,0.4,0.535,0.838,0.566,0.183,0.47,95,90,109.0,99,108.0,99,74,120,-1.3,-2.6,
15.0,Tomáš Satoranský,29.0,SG,58,18,1307,0.514,0.602,0.356,0.578,0.848,0.614,0.24,0.359,110,114,97.0,107,109.0,107,97,92,26.0,31.0,
16.0,Garrett Temple,34.0,SG,56,25,1528,0.415,0.503,0.335,0.503,0.8,0.525,0.131,0.525,89,95,91.0,93,103.0,92,53,134,-26.9,-37.9,
17.0,Daniel Theis,28.0,C,23,14,574,0.522,0.636,0.281,0.567,0.651,0.584,0.242,0.32,112,120,77.0,105,84.0,102,98,82,10.5,4.8,
18.0,Denzel Valentine,27.0,SG,62,3,1036,0.373,0.431,0.331,0.469,0.941,0.479,0.041,0.582,80,81,90.0,87,121.0,84,17,148,-57.5,-78.3,
19.0,Nikola Vučević,30.0,C,26,26,848,0.471,0.509,0.388,0.532,0.87,0.55,0.094,0.311,101,96,106.0,99,112.0,96,38,80,-6.0,-22.2,AS
20.0,Coby White,20.0,PG,69,54,2156,0.416,0.473,0.359,0.506,0.901,0.54,0.157,0.503,89,89,98.0,94,116.0,94,64,128,-57.4,-61.9,
21.0,Patrick Williams,19.0,PF,71,71,1983,0.483,0.515,0.391,0.534,0.728,0.562,0.237,0.261,104,97,107.0,99,94.0,98,96,67,-4.0,-11.7,
22.0,Thaddeus Young,32.0,PF,68,23,1652,0.559,0.58,0.267,0.568,0.628,0.578,0.171,0.068,120,109,73.0,106,81.0,101,69,17,39.8,9.1,6MOY-14
,Team Totals,,,72,72,17380,0.476,0.542,0.37,0.547,0.791,0.575,0.197,0.383,102,102,101.0,102,102.0,101,80,98,110.1,40.0,
