Rk,Unnamed: 1,Salary
1,Lauri Markkanen,"$42,176,400"
2,John Collins,"$26,580,000"
3,Collin Sexton,"$18,350,000"
4,Jordan Clarkson,"$14,092,577"
5,KJ Martin,"$7,975,000"
6,Taylor Hendricks,"$5,848,680"
7,Cody Williams,"$5,469,120"
8,Keyonte George,"$4,084,200"
9,Jalen Hood-Schifino,"$3,879,840"
10,Svi Mykhailiuk,"$3,500,000"
11,Johnny Juzang,"$3,087,519"
12,Josh Richardson,"$3,051,153"
13,Kyle Filipowski,"$3,000,000"
14,Walker Kessler,"$2,965,920"
15,Brice Sensabaugh,"$2,571,480"
16,Isaiah Collier,"$2,512,680"
17,Russell Westbrook,"$2,327,525"
18,Mohamed Bamba,"$2,087,519"
19,Jaden Springer,"$634,437"
20,Jaden Springer,"$119,972"
21,Micah Potter,
22,Oscar Tshiebwe,
23,David Jones,
24,Elijah Harkless,
25,Taevion Kinsey,
