0,1,2,3
Los Angeles Lakers,(18-7),F,$
Phoenix Suns,(14-12),F,$
Golden State Warriors,(13-14),F,$
Sacramento Kings,(6-20),F,$
Los Angeles Clippers,(6-20),F,$
