Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Pascal Siakam,27,6,6,260,10.3,21.7,0.477,0.8,3.4,0.235,9.5,18.2,0.522,0.495,6.3,7.3,0.861,1.6,7.1,8.7,7.1,1.4,1.2,2.6,4.9,27.7,116,120,
2,OG Anunoby,24,6,6,217,9.5,19.9,0.476,3.4,9.9,0.341,6.1,9.9,0.61,0.561,2.9,3.9,0.75,1.7,4.1,5.8,3.6,1.5,0.2,2.4,4.4,25.2,114,123,
3,Gary Trent Jr.,23,6,6,199,8.2,21.7,0.378,3.4,10.3,0.333,4.8,11.4,0.419,0.457,4.5,5.0,0.895,0.3,2.4,2.6,2.1,1.6,0.8,0.8,2.9,24.3,107,122,
4,Precious Achiuwa,22,6,1,167,7.9,16.4,0.481,1.6,5.0,0.313,6.3,11.3,0.556,0.529,1.9,3.2,0.6,2.5,6.6,9.1,1.9,0.3,1.6,2.8,4.4,19.2,102,122,
5,Fred VanVleet,27,4,4,140,7.1,20.3,0.352,4.5,13.5,0.333,2.6,6.8,0.389,0.463,1.9,2.3,0.833,0.8,3.8,4.5,9.4,2.6,1.5,1.5,4.5,20.7,111,118,
6,Scottie Barnes,20,4,3,133,7.1,16.6,0.429,0.8,4.7,0.167,6.3,11.9,0.533,0.452,5.1,6.3,0.813,2.8,11.5,14.2,6.7,1.6,0.4,2.0,4.7,20.2,115,118,
7,Chris Boucher,29,6,0,130,10.5,17.0,0.619,2.4,6.1,0.4,8.1,10.9,0.741,0.69,3.6,4.0,0.9,4.9,9.3,14.2,0.4,0.4,2.8,0.8,5.3,27.1,146,119,
8,Thaddeus Young,33,6,0,87,5.4,10.9,0.5,0.6,4.2,0.143,4.8,6.7,0.727,0.528,0.6,2.4,0.25,4.2,6.7,10.9,6.1,3.0,0.6,1.8,4.8,12.1,115,117,
9,Khem Birch,29,6,4,63,6.7,13.4,0.5,1.7,3.3,0.5,5.0,10.0,0.5,0.563,0.0,0.0,,3.3,4.2,7.5,2.5,0.8,0.8,2.5,10.9,15.0,107,123,
10,Malachi Flynn,23,6,0,36,0.0,10.2,0.0,0.0,4.4,0.0,0.0,5.8,0.0,0.0,0.0,0.0,,2.9,1.5,4.4,4.4,1.5,0.0,1.5,8.8,0.0,40,124,
11,Yuta Watanabe,27,4,0,10,10.5,31.6,0.333,0.0,5.3,0.0,10.5,26.3,0.4,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,21.1,58,129,
12,Dalano Banton,22,4,0,8,13.2,13.2,1.0,0.0,0.0,,13.2,13.2,1.0,1.0,19.7,39.5,0.5,13.2,0.0,13.2,6.6,6.6,0.0,6.6,0.0,46.1,135,113,
13,Armoni Brooks,23,4,0,8,0.0,26.3,0.0,0.0,26.3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,13.2,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0,121,
14,Svi Mykhailiuk,24,3,0,5,0.0,21.1,0.0,0.0,21.1,0.0,0.0,0.0,,0.0,10.5,10.5,1.0,0.0,10.5,10.5,0.0,0.0,0.0,0.0,10.5,10.5,49,122,
15,Isaac Bonga,22,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,35.1,35.1,1.0,0.0,17.5,17.5,0.0,0.0,0.0,0.0,17.5,35.1,250,118,
