Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Scottie Barnes,20.0,74,74,2617,459,932,0.492,58,193,0.301,401,739,0.543,0.524,158,215,0.735,195,362,557,256,80,55,136,192,1134,0,ROY-1
2.0,Pascal Siakam,27.0,68,68,2578,596,1207,0.494,75,218,0.344,521,989,0.527,0.525,284,379,0.749,128,452,580,360,85,42,181,225,1551,2,NBA3
3.0,Fred VanVleet,27.0,65,65,2462,442,1097,0.403,242,642,0.377,200,455,0.44,0.513,194,222,0.874,44,245,289,434,111,35,170,162,1320,1,AS
4.0,Gary Trent Jr.,23.0,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283,0,
5.0,OG Anunoby,24.0,48,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822,0,
6.0,Precious Achiuwa,22.0,73,28,1725,265,603,0.439,56,156,0.359,209,447,0.468,0.486,78,131,0.595,146,327,473,82,37,41,84,151,664,0,
7.0,Chris Boucher,29.0,80,9,1690,268,577,0.464,68,229,0.297,200,348,0.575,0.523,150,193,0.777,179,315,494,25,49,75,42,174,754,0,
8.0,Khem Birch,29.0,55,28,991,97,200,0.485,0,14,0.0,97,186,0.522,0.485,53,71,0.746,122,117,239,56,30,26,29,104,247,0,
9.0,Svi Mykhailiuk,24.0,56,5,716,91,234,0.389,41,134,0.306,50,100,0.5,0.476,32,37,0.865,20,72,92,45,26,4,32,54,255,0,
10.0,Dalano Banton,22.0,64,1,696,83,202,0.411,13,51,0.255,70,151,0.464,0.443,26,44,0.591,38,86,124,99,28,10,53,68,205,0,
11.0,Malachi Flynn,23.0,44,5,537,72,183,0.393,30,90,0.333,42,93,0.452,0.475,15,24,0.625,10,53,63,70,20,4,13,45,189,0,
12.0,Thaddeus Young,33.0,26,0,475,67,144,0.465,17,43,0.395,50,101,0.495,0.524,13,27,0.481,40,75,115,45,31,11,22,43,164,0,
13.0,Yuta Watanabe,27.0,38,4,445,56,138,0.406,27,79,0.342,29,59,0.492,0.504,24,40,0.6,18,74,92,21,11,16,19,38,163,0,
14.0,Justin Champagnie,20.0,36,0,281,31,67,0.463,10,28,0.357,21,39,0.538,0.537,9,9,1.0,37,35,72,11,8,4,8,32,81,0,
15.0,Armoni Brooks,23.0,13,3,154,11,38,0.289,10,36,0.278,1,2,0.5,0.421,2,2,1.0,8,14,22,13,7,3,4,14,34,0,
16.0,Goran Dragić,35.0,5,2,90,13,34,0.382,4,14,0.286,9,20,0.45,0.441,10,10,1.0,2,12,14,9,5,1,1,8,40,0,
17.0,Isaac Bonga,22.0,15,0,69,3,13,0.231,1,4,0.25,2,9,0.222,0.269,5,8,0.625,4,3,7,4,8,2,2,10,12,0,
18.0,D.J. Wilson,25.0,4,1,54,11,15,0.733,0,2,0.0,11,13,0.846,0.733,8,10,0.8,1,15,16,5,5,1,2,6,30,0,
19.0,Tremont Waters,24.0,2,0,42,3,12,0.25,2,9,0.222,1,3,0.333,0.333,0,0,,0,4,4,7,4,0,4,2,8,0,
20.0,Juwan Morgan,24.0,1,0,27,2,3,0.667,1,2,0.5,1,1,1.0,0.833,0,0,,2,2,4,1,0,0,0,3,5,0,
21.0,Daniel Oturu,22.0,3,0,27,3,6,0.5,0,1,0.0,3,5,0.6,0.5,3,5,0.6,1,4,5,0,0,2,0,1,9,0,
22.0,David Johnson,20.0,2,0,2,0,1,0.0,0,1,0.0,0,0,,0.0,0,0,,0,0,0,0,0,0,0,0,0,0,
23.0,Sam Dekker,27.0,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,0,
,Team Totals,,82,82,19855,3332,7489,0.445,979,2808,0.349,2353,4681,0.503,0.51,1327,1749,0.759,1095,2622,3717,1809,738,376,955,1607,8970,3,
