Rk,Unnamed: 1,Salary
1,Blake Griffin,"$32,670,565"
2,Jerami Grant,"$19,050,000"
3,Cory Joseph,"$12,600,000"
4,Mason Plumlee,"$8,000,000"
5,Dennis Smith,"$5,686,677"
6,Killian Hayes,"$5,307,120"
7,Rodney McGruder,"$5,192,307"
8,Josh Jackson,"$4,767,000"
9,Sekou Doumbouya,"$3,449,400"
10,Isaiah Stewart,"$3,121,080"
11,Dewayne Dedmon,"$2,866,667"
12,Saddiq Bey,"$2,689,920"
13,Wayne Ellington,"$2,564,753"
14,Džanan Musa,"$2,002,800"
15,Jahlil Okafor,"$1,882,867"
16,Hamidou Diallo,"$1,663,861"
17,Deividas Sirvydis,"$898,310"
18,Tyler Cook,"$594,121"
19,Frank Jackson,$0
20,Saben Lee,$0
