Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Steven Adams,31.0,C,7,0,155,0.6,0.6,,0.6,0.533,0.602,1.5,0.0,128,110.0,,110,68.0,105,618,0,
2.0,Dillon Brooks,29.0,SF,7,7,206,0.444,0.529,0.345,0.524,0.833,0.585,0.381,0.46,95,97.0,96.0,96,107.0,101,157,109,
3.0,Tari Eason,23.0,PF,7,0,132,0.477,0.56,0.368,0.557,0.5,0.558,0.182,0.432,102,103.0,102.0,103,64.0,97,75,103,
4.0,Jalen Green,22.0,SG,7,7,219,0.372,0.452,0.295,0.448,0.667,0.482,0.279,0.512,80,83.0,82.0,82,85.0,84,115,121,
5.0,Jeff Green,38.0,PF,3,0,5,0.333,0.0,1.0,0.5,,0.5,0.0,0.333,71,0.0,278.0,92,,87,0,79,
6.0,Aaron Holiday,28.0,PG,3,0,27,0.4,0.4,0.4,0.5,0.5,0.51,0.4,0.5,86,73.0,111.0,92,64.0,89,165,119,
7.0,Jock Landale,29.0,C,1,0,5,0.5,0.5,,0.5,,0.5,0.0,0.0,107,92.0,,92,,87,0,0,
8.0,Alperen Şengün,22.0,C,7,7,256,0.45,0.455,0.375,0.462,0.625,0.491,0.305,0.061,96,84.0,104.0,85,80.0,85,126,15,
9.0,Reed Sheppard,20.0,PG,3,0,10,0.0,,0.0,0.0,,0.0,0.0,1.0,0,,0.0,0,,0,0,237,
10.0,Jabari Smith Jr.,21.0,PF,7,0,143,0.5,0.583,0.455,0.647,0.8,0.677,0.294,0.647,107,107.0,126.0,119,103.0,118,121,154,
11.0,Amen Thompson,22.0,SF,7,7,231,0.494,0.506,0.25,0.5,0.694,0.545,0.424,0.047,106,93.0,69.0,92,89.0,95,174,11,
12.0,Fred VanVleet,30.0,PG,7,7,280,0.43,0.419,0.435,0.575,1.0,0.632,0.258,0.667,92,77.0,121.0,106,128.0,110,106,158,
13.0,Cam Whitmore,20.0,SF,3,0,5,0.0,0.0,0.0,0.0,,0.0,0.0,0.5,0,0.0,0.0,0,,0,0,119,
14.0,Jeenathan Williams,25.0,SG,3,0,5,0.0,,0.0,0.0,,0.0,0.0,1.0,0,,0.0,0,,0,0,237,
,Team Totals,,,7,7,1679,0.446,0.484,0.374,0.51,0.7,0.548,0.347,0.344,95,89.0,104.0,94,90.0,95,143,82,
