Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Anthony Davis,30.0,C,76,76,2700,0.556,8.0,0.917,0.369,0.309,0.15,0.09,0.083,0.582,0.774,0.487,0.432,0.365,0.271,0.67,0.966,0.162,196,0.15,0.125,0,0,"DPOY-4,AS,NBA2,DEF1"
2.0,Austin Reaves,25.0,SG,82,57,2629,0.486,16.1,0.553,0.179,0.193,0.118,0.064,0.447,0.583,0.81,0.519,0.45,0.383,0.367,0.409,0.675,0.014,13,0.143,0.317,3,0,
3.0,LeBron James,39.0,PF,71,71,2504,0.54,11.6,0.714,0.345,0.217,0.078,0.073,0.286,0.592,0.772,0.482,0.313,0.366,0.41,0.435,0.685,0.071,84,0.096,0.457,1,0,"CPOY-10,AS,NBA3"
4.0,D'Angelo Russell,27.0,PG,76,69,2484,0.456,17.4,0.495,0.109,0.205,0.115,0.067,0.505,0.497,0.788,0.403,0.46,0.375,0.415,0.383,0.735,0.001,1,0.127,0.406,5,0,
5.0,Taurean Prince,29.0,PF,78,49,2108,0.442,17.8,0.378,0.128,0.168,0.059,0.023,0.622,0.519,0.699,0.438,0.441,0.308,0.396,0.866,0.943,0.014,7,0.41,0.363,3,0,
6.0,Rui Hachimura,25.0,PF,68,39,1826,0.537,12.6,0.657,0.296,0.197,0.09,0.072,0.343,0.597,0.81,0.398,0.525,0.367,0.422,0.796,0.99,0.127,77,0.457,0.443,0,0,
7.0,Cam Reddish,24.0,SF,48,26,984,0.389,14.0,0.53,0.265,0.188,0.03,0.047,0.47,0.435,0.629,0.295,0.143,0.091,0.336,0.722,1.0,0.056,10,0.573,0.365,0,0,
8.0,Max Christie,20.0,SG,67,7,944,0.427,16.3,0.51,0.166,0.158,0.124,0.062,0.49,0.496,0.6,0.342,0.533,0.533,0.356,0.639,0.976,0.075,16,0.415,0.449,1,0,
9.0,Jaxson Hayes,23.0,C,70,5,877,0.72,4.0,0.954,0.68,0.263,0.0,0.011,0.046,0.754,0.857,0.5,,0.5,0.0,0.849,,0.469,75,0.125,0.0,1,0,
10.0,Christian Wood,28.0,PF,50,1,872,0.466,13.8,0.568,0.261,0.223,0.042,0.042,0.432,0.587,0.812,0.424,0.455,0.182,0.307,0.761,0.971,0.102,24,0.228,0.346,0,0,
11.0,Spencer Dinwiddie,30.0,PG,28,4,678,0.397,18.8,0.362,0.078,0.177,0.071,0.035,0.638,0.412,0.636,0.36,0.3,0.4,0.389,0.143,0.943,0.021,3,0.367,0.606,0,0,
12.0,Jarred Vanderbilt,24.0,PF,29,6,581,0.518,8.1,0.763,0.474,0.272,0.018,0.0,0.237,0.586,0.685,0.452,0.0,,0.296,0.706,1.0,0.193,21,0.704,0.316,1,0,
13.0,Gabe Vincent,27.0,PG,11,0,218,0.306,18.8,0.429,0.122,0.122,0.041,0.143,0.571,0.571,0.667,0.667,0.5,0.429,0.107,0.5,0.667,0.0,0,0.179,0.0,0,0,
14.0,Jalen Hood-Schifino,20.0,SG,21,0,109,0.222,16.1,0.667,0.111,0.222,0.089,0.244,0.333,0.267,0.6,0.1,0.25,0.273,0.133,0.625,1.0,0.022,1,0.067,0.0,0,0,
15.0,Maxwell Lewis,21.0,SF,34,0,103,0.19,14.3,0.571,0.238,0.19,0.048,0.095,0.429,0.25,0.2,0.25,0.0,0.5,0.111,0.333,1.0,0.048,0,0.0,,0,0,
16.0,Skylar Mays,26.0,SG,17,0,77,0.476,11.2,0.762,0.19,0.381,0.143,0.048,0.238,0.5,0.5,0.625,0.0,1.0,0.4,0.75,1.0,0.095,2,0.4,0.5,0,0,
17.0,Colin Castleton,23.0,C,16,0,59,0.563,3.6,1.0,0.5,0.438,0.063,0.0,0.0,0.563,0.625,0.429,1.0,,,0.667,,0.188,3,,,0,0,
18.0,D'Moi Hodge,25.0,SG,7,0,41,0.333,21.8,0.2,0.133,0.0,0.0,0.067,0.8,0.667,0.5,,,1.0,0.25,1.0,1.0,0.0,0,0.25,0.333,0,0,
19.0,Dylan Windler,27.0,SF,8,0,28,0.444,24.3,0.111,0.0,0.0,0.111,0.0,0.889,0.0,,,0.0,,0.5,,1.0,0.0,0,0.25,0.5,0,0,
20.0,Harry Giles,25.0,C,7,0,19,0.167,15.2,0.5,0.167,0.333,0.0,0.0,0.5,0.333,1.0,0.0,,,0.0,1.0,,0.0,0,0.667,0.0,0,0,
21.0,Alex Fudge,20.0,SF,4,0,14,0.167,15.9,0.667,0.0,0.333,0.167,0.167,0.333,0.25,,0.0,1.0,0.0,0.0,0.0,,0.0,0,0.5,0.0,0,0,
,Team Totals,,,82,82,19855,0.499,14.3,0.642,0.259,0.221,0.097,0.065,0.358,0.567,0.769,0.451,0.428,0.365,0.377,0.591,0.822,0.081,533,0.248,0.388,15,0,
