Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards
1,Jayson Tatum,25,19,19,768,10.8,25.3,0.427,2.7,9.4,0.283,8.2,15.9,0.513,0.48,8.0,9.3,0.861,1.2,11.4,12.5,8.1,1.4,0.9,3.4,3.7,32.3,115,108,
2,Jrue Holiday,33,19,19,720,7.0,14.0,0.503,2.5,6.3,0.402,4.5,7.7,0.585,0.593,1.5,1.6,0.955,2.7,5.7,8.4,6.0,1.5,0.9,2.1,2.9,18.1,127,110,
3,Jaylen Brown,27,19,19,707,12.9,25.0,0.516,2.7,8.1,0.327,10.3,16.9,0.607,0.569,5.0,7.6,0.66,1.6,6.7,8.3,4.6,1.7,0.9,3.8,3.8,33.5,112,109,Finals MVP-1
4,Derrick White,29,19,19,676,8.4,18.6,0.452,5.0,12.4,0.404,3.4,6.2,0.55,0.587,2.7,2.9,0.921,1.5,4.8,6.3,5.9,1.4,1.8,1.2,3.4,24.6,131,109,
5,Al Horford,37,19,15,575,6.0,12.5,0.478,3.2,8.6,0.368,2.8,3.9,0.721,0.605,0.6,1.0,0.636,3.2,8.9,12.1,3.6,1.4,1.5,1.1,2.5,15.8,130,108,
6,Payton Pritchard,26,19,0,355,6.5,15.4,0.419,3.4,8.8,0.383,3.1,6.6,0.467,0.529,1.6,1.8,0.917,2.1,3.4,5.4,5.9,0.6,0.0,2.1,3.2,18.0,117,114,
7,Sam Hauser,26,19,0,283,6.6,15.5,0.429,5.0,13.1,0.38,1.7,2.4,0.692,0.589,0.7,0.7,1.0,1.5,6.1,7.6,2.0,0.9,0.6,0.6,3.7,19.0,125,112,
8,Kristaps Porziņģis,28,7,4,165,8.9,19.0,0.467,3.2,9.2,0.345,5.7,9.8,0.581,0.55,6.3,7.0,0.909,1.3,8.5,9.8,2.5,1.6,3.5,1.6,4.7,27.2,124,105,
9,Luke Kornet,28,13,0,133,5.5,8.2,0.667,0.0,0.0,,5.5,8.2,0.667,0.667,4.3,5.1,0.846,7.5,8.6,16.1,2.7,0.4,2.0,2.4,4.3,15.3,144,109,
10,Xavier Tillman Sr.,25,8,0,69,3.8,6.1,0.625,0.8,0.8,1.0,3.0,5.3,0.571,0.688,0.8,0.8,1.0,3.0,7.6,10.6,2.3,2.3,2.3,2.3,5.3,9.1,122,105,
11,Oshae Brissett,25,10,0,55,5.7,10.4,0.545,1.9,1.9,1.0,3.8,8.5,0.444,0.636,1.9,3.8,0.5,2.8,10.4,13.3,0.0,2.8,1.9,0.9,1.9,15.2,124,103,
12,Svi Mykhailiuk,26,8,0,32,4.9,19.6,0.25,3.3,14.7,0.222,1.6,4.9,0.333,0.333,0.0,0.0,,1.6,6.5,8.2,1.6,1.6,0.0,3.3,4.9,13.1,68,110,
13,Jaden Springer,21,4,0,22,4.7,7.1,0.667,0.0,0.0,,4.7,7.1,0.667,0.667,0.0,0.0,,0.0,7.1,7.1,2.4,0.0,2.4,4.7,2.4,9.5,80,111,
14,Neemias Queta,24,3,0,13,8.0,12.1,0.667,0.0,0.0,,8.0,12.1,0.667,0.667,0.0,0.0,,4.0,8.0,12.1,0.0,0.0,4.0,0.0,0.0,16.1,144,108,
15,Jordan Walsh,19,3,0,11,4.7,14.2,0.333,0.0,4.7,0.0,4.7,9.5,0.5,0.333,0.0,0.0,,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,9.5,71,113,
