Rk,Unnamed: 1,Salary
1,Nikola Jokić,"$33,047,803"
2,Jamal Murray,"$31,650,600"
3,Michael Porter,"$30,913,750"
4,Aaron Gordon,"$19,690,909"
5,Kentavious Caldwell-Pope,"$14,004,703"
6,Bruce Brown,"$6,479,000"
7,Ish Smith,"$4,725,000"
8,Jeff Green,"$4,500,000"
9,Christian Braun,"$2,808,600"
10,Zeke Nnaji,"$2,617,800"
11,Vlatko Čančar,"$2,234,359"
12,Peyton Watson,"$2,193,960"
13,Thomas Bryant,"$1,836,090"
14,DeAndre Jordan,"$1,836,090"
15,Reggie Jackson,"$580,373"
16,Collin Gillespie,
17,Jack White,
