Rk,Unnamed: 1,Salary
1,Lonzo Ball,"$21,395,348"
2,Nikola Vučević,"$20,000,000"
3,Patrick Williams,"$18,000,000"
4,Kevin Huerter,"$16,830,357"
5,Zach Collins,"$16,741,200"
6,Coby White,"$12,000,000"
7,Tre Jones,"$9,104,167"
8,Jalen Smith,"$8,571,429"
9,Josh Giddey,"$8,352,367"
10,Ayo Dosunmu,"$7,000,000"
11,Jevon Carter,"$6,500,000"
12,Chris Duarte,"$5,893,768"
13,Matas Buzelis,"$5,195,520"
14,Dalen Terry,"$3,510,480"
15,Torrey Craig,"$2,845,342"
16,Talen Horton-Tucker,"$2,087,519"
17,Julian Phillips,"$1,891,857"
18,Adama Sanogo,
19,DJ Steward,
20,E.J. Liddell,
21,Emanuel Miller,
22,Jahmir Young,
