Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Scottie Barnes,21,SF,77,76,2678,6.2,13.7,0.456,0.8,3.0,0.281,5.4,10.6,0.505,0.487,2.6,3.3,0.772,2.4,4.5,6.9,5.0,1.1,0.8,2.1,2.3,15.8,
2,Pascal Siakam,28,PF,71,71,2652,8.6,17.8,0.48,1.3,3.9,0.324,7.3,13.9,0.523,0.515,5.0,6.4,0.774,1.8,5.8,7.5,5.6,0.9,0.5,2.3,3.1,23.3,AS
3,Fred VanVleet,28,PG,69,69,2535,6.2,15.8,0.393,2.9,8.6,0.342,3.3,7.2,0.455,0.486,3.6,4.0,0.898,0.4,3.6,4.0,7.0,1.7,0.5,2.0,2.7,19.0,
4,OG Anunoby,25,SF,67,67,2386,6.4,13.4,0.476,2.1,5.5,0.387,4.2,7.8,0.539,0.556,2.1,2.5,0.838,1.4,3.6,5.0,2.0,1.9,0.8,2.0,3.0,17.0,"DPOY-7,DEF2"
5,Gary Trent Jr.,24,SG,66,44,2118,6.9,15.9,0.433,2.8,7.6,0.369,4.1,8.2,0.493,0.522,2.9,3.5,0.839,0.5,2.4,2.9,1.8,1.8,0.2,0.9,1.7,19.5,
6,Chris Boucher,30,PF,76,0,1523,6.2,12.5,0.493,1.5,4.5,0.328,4.7,8.0,0.585,0.552,3.0,4.0,0.762,3.7,6.2,10.0,0.7,1.1,1.5,1.0,3.4,16.8,
7,Precious Achiuwa,23,C,55,12,1140,6.2,12.8,0.485,0.9,3.4,0.269,5.3,9.3,0.564,0.521,2.7,3.9,0.702,3.2,7.2,10.4,1.6,1.0,0.9,1.9,3.2,16.0,
8,Christian Koloko,22,C,58,19,802,3.2,6.7,0.48,0.0,0.5,0.083,3.2,6.2,0.514,0.483,1.7,2.6,0.627,3.8,3.9,7.7,1.4,0.9,2.6,0.9,5.7,8.2,
9,Thaddeus Young,34,PF,54,9,795,4.9,9.0,0.545,0.3,1.5,0.176,4.6,7.4,0.622,0.561,0.8,1.2,0.692,3.2,4.3,7.5,3.4,2.4,0.2,1.9,4.0,10.9,
10,Jakob Poeltl,27,C,26,25,707,7.6,11.7,0.652,0.0,0.0,,7.6,11.7,0.652,0.652,2.1,3.7,0.569,4.3,7.8,12.1,2.9,1.5,1.7,1.5,3.9,17.4,
11,Malachi Flynn,24,PG,53,2,691,4.5,12.6,0.36,2.4,6.9,0.353,2.1,5.7,0.367,0.457,1.3,1.7,0.758,0.8,3.2,4.0,3.6,1.1,0.2,1.3,3.4,12.8,
12,Juancho Hernangómez,27,PF,42,10,614,2.8,6.7,0.421,1.0,3.9,0.254,1.8,2.8,0.66,0.496,0.5,0.9,0.563,1.6,5.6,7.2,1.5,0.9,0.4,0.9,2.5,7.2,
13,Dalano Banton,23,PG,31,2,279,7.1,16.8,0.423,1.9,6.6,0.294,5.2,10.2,0.506,0.481,2.2,3.1,0.708,1.4,4.4,5.8,4.6,1.7,1.7,2.3,4.4,18.3,
14,Jeff Dowtin Jr.,25,PG,25,0,259,3.5,7.9,0.439,0.7,2.2,0.313,2.8,5.7,0.488,0.482,0.8,1.3,0.667,0.8,2.4,3.2,4.3,1.3,0.4,0.7,1.8,8.5,
15,Will Barton,32,SG,16,2,211,4.8,13.5,0.354,2.4,7.2,0.333,2.4,6.3,0.378,0.443,0.3,0.3,1.0,0.9,3.6,4.4,2.9,1.9,0.5,0.5,2.9,12.3,
16,Khem Birch,30,C,20,0,162,4.2,7.1,0.594,0.2,0.4,0.5,4.0,6.7,0.6,0.609,0.9,1.1,0.8,1.8,3.8,5.6,1.6,1.1,1.1,1.8,5.3,9.6,
17,Otto Porter Jr.,29,SF,8,2,146,3.7,7.4,0.5,1.5,4.2,0.353,2.2,3.2,0.692,0.6,2.0,2.0,1.0,1.5,3.2,4.7,2.0,2.7,0.0,1.0,1.7,10.8,
18,Joe Wieskamp,23,SF,9,0,50,2.2,10.1,0.214,2.2,8.6,0.25,0.0,1.4,0.0,0.321,0.0,0.0,,0.0,2.9,2.9,2.2,0.0,0.0,0.7,2.2,6.5,
19,Ron Harper Jr.,22,PF,9,0,48,6.0,12.0,0.5,2.3,6.8,0.333,3.7,5.2,0.714,0.594,0.7,0.7,1.0,2.3,3.0,5.2,3.0,0.0,0.7,0.0,2.3,15.0,
20,Justin Champagnie,21,SF,3,0,11,9.8,9.8,1.0,0.0,0.0,,9.8,9.8,1.0,1.0,0.0,0.0,,3.3,9.8,13.1,3.3,0.0,0.0,0.0,3.3,19.6,
