Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss,+/- Per 100 Poss,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,Awards
1.0,Stephen Curry,34.0,PG,13,13,493,100,0,0,0,0,3.2,17.3,25,9,16,3,23,5,187,12,13,
2.0,Klay Thompson,32.0,SF,13,13,468,0,24,59,17,0,1.6,7.3,14,6,13,4,10,1,64,1,7,
3.0,Andrew Wiggins,27.0,SF,13,12,442,0,0,29,71,0,4.2,15.3,7,3,28,3,20,5,67,3,10,
4.0,Draymond Green,32.0,PF,12,9,367,0,0,0,45,56,-1.3,-2.5,16,3,19,6,15,9,195,3,7,
5.0,Kevon Looney,26.0,C,13,8,325,0,0,0,0,100,8.3,17.9,6,4,18,3,8,1,105,2,6,
6.0,Jordan Poole,23.0,PG,13,4,284,40,60,0,0,0,-2.5,-4.2,6,6,13,3,14,1,108,4,11,
7.0,Donte DiVincenzo,26.0,SG,13,1,235,1,72,24,2,0,-7.2,-11.2,6,4,8,4,4,3,84,0,2,
8.0,Gary Payton II,30.0,SG,12,3,192,8,72,20,0,0,-8.3,-11.7,5,1,9,2,5,0,24,1,3,
9.0,Moses Moody,20.0,SG,12,0,161,0,21,67,12,0,-4.5,-5.8,1,0,5,1,6,0,19,1,1,
10.0,Jonathan Kuminga,20.0,PF,10,0,61,0,0,0,20,80,-19.3,-21.0,1,2,2,0,5,0,13,1,0,
11.0,JaMychal Green,32.0,PF,7,2,49,0,0,0,7,93,-16.5,-17.6,0,0,6,1,0,0,8,0,0,
12.0,Anthony Lamb,25.0,SF,6,0,31,0,0,48,52,0,-9.2,-9.4,1,1,2,0,0,0,0,0,0,
13.0,Patrick Baldwin Jr.,20.0,SF,3,0,11,0,0,0,100,0,-21.4,-21.5,0,0,0,0,0,0,3,0,0,
,Team Totals,,,13,13,3119,20,20,20,20,20,-0.3,4.5,88,39,139,30,110,25,877,28,60,
