Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Bradley Beal,27.0,SG,5,5,195,0.455,0.538,0.219,0.484,0.861,0.54,0.293,0.26,98,102.0,60.0,90,111.0,94,119,66,
2.0,Dāvis Bertāns,28.0,PF,4,2,106,0.407,0.75,0.348,0.556,1.0,0.615,0.259,0.852,87,141.0,95.0,103,129.0,108,105,217,
3.0,Isaac Bonga,21.0,SF,4,0,10,0.0,0.0,0.0,0.0,,0.0,0.0,0.6,0,0.0,0.0,0,,0,0,153,
4.0,Daniel Gafford,22.0,C,5,2,117,0.846,0.846,,0.846,0.625,0.807,0.923,0.0,182,160.0,,157,80.0,141,374,0,
5.0,Anthony Gill,28.0,PF,4,0,33,0.0,0.0,0.0,0.0,,0.0,0.0,0.333,0,0.0,0.0,0,,0,0,85,
6.0,Rui Hachimura,22.0,PF,5,5,173,0.617,0.625,0.6,0.713,0.583,0.708,0.255,0.319,132,118.0,164.0,133,75.0,124,103,81,
7.0,Chandler Hutchison,24.0,SF,2,0,18,0.4,0.4,,0.4,1.0,0.51,0.4,0.0,86,75.0,,74,129.0,89,162,0,
8.0,Alex Len,27.0,C,5,3,42,0.571,0.571,,0.571,0.571,0.585,0.5,0.0,123,108.0,,106,73.0,102,203,0,
9.0,Robin Lopez,32.0,C,5,0,73,0.72,0.72,,0.72,0.25,0.691,0.16,0.0,154,136.0,,134,32.0,121,65,0,
10.0,Garrison Mathews,24.0,SG,3,0,17,0.0,,0.0,0.0,0.8,0.323,1.25,1.0,0,,0.0,0,103.0,56,506,255,
11.0,Raul Neto,28.0,PG,5,3,112,0.353,0.421,0.267,0.412,0.8,0.442,0.147,0.441,76,79.0,73.0,77,103.0,77,60,113,
12.0,Ish Smith,32.0,PG,5,0,111,0.372,0.389,0.286,0.395,,0.395,0.0,0.163,80,73.0,78.0,73,,69,0,42,
13.0,Russell Westbrook,32.0,PG,5,5,186,0.333,0.359,0.25,0.363,0.791,0.462,0.512,0.238,72,68.0,68.0,67,102.0,81,207,61,
14.0,Cassius Winston,22.0,PG,1,0,5,0.333,0.5,0.0,0.333,,0.333,0.0,0.333,72,94.0,0.0,62,,58,0,85,
,Team Totals,,,5,5,1198,0.458,0.522,0.289,0.498,0.752,0.543,0.327,0.273,98,98.0,79.0,93,97.0,95,133,70,
