Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,Bradley Beal,27.0,SG,5,5,195,0.455,13.2,0.74,0.195,0.244,0.146,0.154,0.26,0.538,0.667,0.433,0.389,0.684,0.219,0.286,0.714,0.008,1,0.125,0.5,0,0,
2.0,Russell Westbrook,32.0,PG,5,5,186,0.333,13.2,0.762,0.202,0.202,0.119,0.238,0.238,0.359,0.529,0.118,0.5,0.35,0.25,0.174,1.0,0.048,2,0.25,0.2,0,0,
3.0,Rui Hachimura,22.0,PF,5,5,173,0.617,14.1,0.681,0.191,0.191,0.17,0.128,0.319,0.625,0.889,0.333,1.0,0.167,0.6,0.85,1.0,0.106,5,0.4,0.5,0,0,
4.0,Daniel Gafford,22.0,C,5,2,117,0.846,2.4,1.0,0.808,0.154,0.038,0.0,0.0,0.846,0.952,0.5,0.0,,,0.682,,0.423,11,,,0,0,
5.0,Raul Neto,28.0,PG,5,3,112,0.353,14.8,0.559,0.176,0.265,0.088,0.029,0.441,0.421,0.667,0.222,0.333,1.0,0.267,0.875,0.75,0.0,0,0.133,0.0,0,0,
6.0,Ish Smith,32.0,PG,5,0,111,0.372,12.3,0.837,0.233,0.163,0.256,0.186,0.163,0.389,0.6,0.286,0.455,0.125,0.286,0.143,0.5,0.0,0,0.429,0.333,0,0,
7.0,Dāvis Bertāns,28.0,PF,4,2,106,0.407,24.2,0.148,0.074,0.074,0.0,0.0,0.852,0.75,1.0,0.5,,,0.348,1.0,1.0,0.037,1,0.13,0.333,1,0,
8.0,Robin Lopez,32.0,C,5,0,73,0.72,5.7,1.0,0.24,0.64,0.12,0.0,0.0,0.72,0.667,0.75,0.667,,,0.667,,0.08,2,,,0,0,
9.0,Alex Len,27.0,C,5,3,42,0.571,3.8,1.0,0.429,0.5,0.071,0.0,0.0,0.571,0.833,0.286,1.0,,,0.75,,0.143,2,,,0,0,
10.0,Anthony Gill,28.0,PF,4,0,33,0.0,11.2,0.667,0.0,0.667,0.0,0.0,0.333,0.0,,0.0,,,0.0,,,0.0,0,0.0,,0,0,
11.0,Chandler Hutchison,24.0,SF,2,0,18,0.4,7.7,1.0,0.2,0.4,0.4,0.0,0.0,0.4,1.0,0.5,0.0,,,0.5,,0.0,0,,,0,0,
12.0,Garrison Mathews,24.0,SG,3,0,17,0.0,24.9,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,0.0,,,0.0,0,0.5,0.0,0,0,
13.0,Isaac Bonga,21.0,SF,4,0,10,0.0,17.9,0.4,0.0,0.2,0.2,0.0,0.6,0.0,,0.0,0.0,,0.0,,,0.0,0,0.667,0.0,0,0,
14.0,Cassius Winston,22.0,PG,1,0,5,0.333,14.8,0.667,0.333,0.0,0.0,0.333,0.333,0.5,1.0,,,0.0,0.0,0.0,,0.0,0,0.0,,0,0,
,Team Totals,,,5,5,1198,0.458,12.9,0.727,0.233,0.239,0.131,0.124,0.273,0.522,0.738,0.377,0.5,0.418,0.289,0.482,0.886,0.059,24,0.223,0.296,1,0,
