Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,Unnamed: 25_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards
1.0,Steven Adams,29.0,C,42,42,1133,0.597,0.599,0.0,0.597,0.364,0.564,0.49,0.004,126,109.0,0,109,47.0,97,184,1,27.2,-10.7,
2.0,Santi Aldama,22.0,PF,77,20,1682,0.47,0.591,0.353,0.56,0.75,0.591,0.274,0.507,99,108.0,98,103,96.0,102,103,131,15.5,12.0,
3.0,Desmond Bane,24.0,SG,58,58,1841,0.479,0.534,0.408,0.568,0.883,0.606,0.218,0.433,101,97.0,113,104,113.0,104,82,112,42.0,50.5,
4.0,Dillon Brooks,27.0,SF,73,73,2214,0.396,0.451,0.326,0.468,0.779,0.494,0.155,0.443,83,82.0,90,86,100.0,85,58,114,-153.7,-183.8,DEF2
5.0,Kennedy Chandler,20.0,PG,36,0,281,0.422,0.485,0.133,0.434,0.462,0.44,0.157,0.181,89,89.0,37,80,59.0,76,59,47,-18.5,-25.1,
6.0,Brandon Clarke,26.0,PF,56,8,1090,0.656,0.665,0.167,0.658,0.723,0.682,0.393,0.017,138,121.0,46,121,92.0,117,147,4,78.4,82.2,
7.0,Jacob Gilyard,24.0,PG,1,0,41,0.333,,0.333,0.5,,0.5,0.0,1.0,70,,92,92,,86,0,258,-0.3,-0.5,
8.0,Danny Green,35.0,SG,3,0,43,0.273,0.0,0.375,0.409,,0.409,0.0,0.727,57,0.0,104,75,,70,0,188,-3.0,-3.8,
9.0,Jaren Jackson Jr.,23.0,C,63,63,1787,0.506,0.585,0.355,0.567,0.788,0.613,0.372,0.343,106,107.0,98,104,101.0,105,140,89,35.6,60.9,"DPOY-1,AS,DEF1"
10.0,Tyus Jones,26.0,PG,80,22,1940,0.438,0.495,0.371,0.523,0.8,0.546,0.141,0.459,92,90.0,103,96,102.0,94,53,119,-31.3,-53.5,6MOY-6
11.0,Luke Kennard,26.0,SG,24,3,590,0.526,0.471,0.54,0.743,0.947,0.758,0.111,0.801,111,86.0,150,136,121.0,130,42,207,67.5,63.5,
12.0,John Konchar,26.0,SF,72,23,1494,0.431,0.545,0.339,0.525,0.778,0.542,0.113,0.553,91,100.0,94,96,99.0,93,42,143,-13.0,-26.4,
13.0,Jake LaRavia,21.0,PF,35,0,414,0.389,0.542,0.338,0.516,0.778,0.531,0.095,0.747,82,99.0,94,95,99.0,91,36,193,-5.6,-10.0,
14.0,Kenneth Lofton Jr.,20.0,PF,24,1,176,0.527,0.566,0.353,0.559,0.593,0.572,0.29,0.183,111,103.0,98,103,76.0,98,109,47,2.6,-1.9,
15.0,Ja Morant,23.0,PG,61,59,1948,0.466,0.519,0.307,0.504,0.748,0.557,0.409,0.247,98,95.0,85,92,96.0,96,154,64,-99.9,-69.5,"MVP-12,AS"
16.0,David Roddy,21.0,PF,70,4,1258,0.429,0.553,0.307,0.506,0.631,0.519,0.155,0.505,90,101.0,85,93,81.0,89,58,130,-33.0,-55.5,
17.0,Xavier Tillman Sr.,24.0,C,61,29,1180,0.614,0.632,0.267,0.621,0.551,0.621,0.291,0.049,129,115.0,74,114,70.0,107,109,13,46.3,27.7,
18.0,Vince Williams Jr.,22.0,SG,15,1,105,0.3,0.667,0.143,0.35,1.0,0.367,0.05,0.7,63,122.0,40,64,128.0,63,19,181,-15.6,-17.5,
19.0,Ziaire Williams,21.0,SF,37,4,561,0.429,0.596,0.258,0.492,0.773,0.511,0.112,0.495,90,109.0,71,90,99.0,88,42,128,-20.7,-29.1,
,Team Totals,,,82,82,19778,0.475,0.548,0.351,0.54,0.733,0.57,0.259,0.372,100,100.0,97,99,94.0,98,97,96,-79.5,-190.5,
