Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,Awards
1.0,Santi Aldama,22.0,PF,6,0,101,0.455,0.444,0.467,0.561,1.0,0.576,0.061,0.455,96,81,129,103,128.0,99,23,117,
2.0,Desmond Bane,24.0,SG,6,6,231,0.422,0.5,0.32,0.491,0.931,0.548,0.25,0.431,89,91,89,90,119.0,94,94,111,
3.0,Dillon Brooks,27.0,SF,6,6,167,0.312,0.4,0.238,0.377,0.714,0.393,0.091,0.545,66,73,66,69,91.0,68,34,141,
4.0,Jaren Jackson Jr.,23.0,C,6,6,220,0.422,0.483,0.28,0.464,0.861,0.546,0.434,0.301,89,88,78,85,110.0,94,163,78,
5.0,Tyus Jones,26.0,PG,6,1,120,0.306,0.471,0.158,0.347,0.667,0.362,0.083,0.528,64,86,44,64,85.0,62,31,136,
6.0,Luke Kennard,26.0,SG,5,0,107,0.522,0.571,0.5,0.696,1.0,0.727,0.174,0.696,110,104,139,128,128.0,125,65,180,
7.0,John Konchar,26.0,SF,5,0,49,0.222,0.4,0.0,0.222,,0.222,0.0,0.444,47,73,0,41,,38,0,115,
8.0,Kenneth Lofton Jr.,20.0,PF,4,0,12,0.375,0.5,0.0,0.375,0.5,0.394,0.25,0.25,79,91,0,69,64.0,68,94,65,
9.0,Ja Morant,23.0,PG,5,5,187,0.425,0.427,0.419,0.486,0.769,0.524,0.245,0.292,89,78,116,89,98.0,90,92,75,
10.0,David Roddy,21.0,PF,6,0,76,0.276,0.222,0.3,0.379,1.0,0.391,0.034,0.69,58,41,83,70,128.0,67,13,178,
11.0,Xavier Tillman Sr.,24.0,C,6,6,183,0.533,0.561,0.25,0.544,0.6,0.551,0.111,0.089,112,102,69,100,77.0,95,42,23,
12.0,Ziaire Williams,21.0,SF,4,0,12,0.286,0.25,0.333,0.357,,0.357,0.0,0.429,60,46,92,66,,61,0,111,
,Team Totals,,,6,6,1465,0.402,0.463,0.312,0.465,0.835,0.504,0.201,0.404,85,85,86,85,107.0,87,75,104,
