Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,Unnamed: 29_level_0
Rk,Player,Age,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards
1.0,DeMar DeRozan,34.0,SF,79,79,2989,0.48,13.2,0.834,0.182,0.172,0.25,0.23,0.166,0.509,0.684,0.494,0.49,0.402,0.333,0.282,0.853,0.019,18,0.316,0.394,1,0,CPOY-2
2.0,Coby White,23.0,PG,79,78,2881,0.447,15.5,0.54,0.25,0.156,0.085,0.05,0.46,0.508,0.656,0.362,0.485,0.267,0.376,0.289,0.833,0.012,14,0.126,0.4,4,0,
3.0,Nikola Vučević,33.0,C,76,74,2610,0.484,12.1,0.742,0.225,0.302,0.128,0.086,0.258,0.55,0.645,0.552,0.477,0.404,0.294,0.745,1.0,0.031,31,0.054,0.294,0,0,
4.0,Ayo Dosunmu,24.0,SG,76,37,2212,0.501,13.0,0.59,0.334,0.164,0.05,0.042,0.41,0.568,0.654,0.466,0.361,0.533,0.403,0.548,0.891,0.019,13,0.485,0.385,1,0,
5.0,Alex Caruso,29.0,SG,71,57,2040,0.468,17.1,0.384,0.216,0.115,0.022,0.031,0.616,0.563,0.675,0.387,0.667,0.353,0.408,0.436,0.89,0.031,15,0.363,0.397,0,0,"DPOY-10,DEF2"
6.0,Andre Drummond,30.0,C,79,10,1351,0.556,2.8,0.994,0.713,0.26,0.021,0.0,0.006,0.56,0.614,0.416,0.5,,0.0,0.558,,0.16,65,0.0,,3,0,
7.0,Patrick Williams,22.0,PF,43,30,1174,0.443,14.6,0.588,0.267,0.128,0.092,0.1,0.412,0.474,0.573,0.326,0.485,0.389,0.399,0.55,0.966,0.109,29,0.304,0.422,0,0,
8.0,Torrey Craig,33.0,SF,53,14,1049,0.43,16.8,0.39,0.219,0.124,0.02,0.028,0.61,0.49,0.582,0.419,0.2,0.286,0.392,0.583,0.967,0.02,3,0.451,0.362,0,0,
9.0,Jevon Carter,28.0,PG,72,0,1004,0.378,20.4,0.359,0.041,0.088,0.134,0.096,0.641,0.466,0.333,0.438,0.469,0.543,0.329,0.689,0.87,0.0,0,0.252,0.39,1,0,
10.0,Zach LaVine,28.0,SG,25,23,872,0.452,15.7,0.551,0.237,0.136,0.053,0.125,0.449,0.536,0.64,0.431,0.5,0.468,0.349,0.396,0.525,0.04,13,0.183,0.452,0,0,
11.0,Dalen Terry,21.0,SG,59,2,681,0.439,13.2,0.529,0.357,0.153,0.019,0.0,0.471,0.627,0.679,0.583,0.0,,0.23,0.462,0.941,0.115,16,0.446,0.333,1,0,
12.0,Julian Phillips,20.0,SF,40,0,323,0.416,13.6,0.506,0.39,0.078,0.013,0.026,0.494,0.513,0.467,0.667,1.0,0.5,0.316,0.75,1.0,0.091,4,0.579,0.455,0,0,
13.0,Onuralp Bitim,24.0,SG,23,1,268,0.381,16.2,0.476,0.202,0.143,0.083,0.048,0.524,0.5,0.706,0.25,0.571,0.25,0.273,0.75,1.0,0.06,3,0.341,0.267,0,0,
14.0,Javonte Green,30.0,SF,9,5,230,0.6,10.2,0.64,0.493,0.133,0.013,0.0,0.36,0.729,0.73,0.7,1.0,,0.37,0.686,1.0,0.173,11,0.63,0.353,0,0,
15.0,Terry Taylor,24.0,PF,31,0,188,0.513,7.5,0.769,0.564,0.179,0.026,0.0,0.231,0.6,0.636,0.571,0.0,,0.222,0.667,1.0,0.051,1,0.778,0.286,0,0,
16.0,Adama Sanogo,21.0,PF,9,0,66,0.519,3.1,1.0,0.556,0.407,0.037,0.0,0.0,0.519,0.667,0.273,1.0,,,0.5,,0.0,0,,,0,0,
17.0,Henri Drell,23.0,SF,4,0,30,0.4,16.5,0.4,0.1,0.3,0.0,0.0,0.6,0.5,1.0,0.333,,,0.333,0.0,1.0,0.0,0,0.333,0.5,0,0,
18.0,Andrew Funk,24.0,SG,5,0,13,0.0,19.0,0.25,0.0,0.25,0.0,0.0,0.75,0.0,,0.0,,,0.0,,,0.0,0,0.667,0.0,0,0,
,Team Totals,,,82,82,19981,0.47,13.4,0.642,0.266,0.181,0.106,0.089,0.358,0.532,0.642,0.465,0.481,0.404,0.358,0.488,0.876,0.039,236,0.275,0.385,11,0,
