Player,Team,Update,Description
Isaiah Hartenstein,Oklahoma City Thunder,"Wed, Dec 17, 2025",Out (Foot) - The Thunder listed Hartenstein as Out on Thursday's (Dec. 18) game against the Clippers.
Thomas Sorber,Oklahoma City Thunder,"Fri, Sep 5, 2025",Out For Season (Knee) - The Thunder announced on Friday (Sept. 5) that Sorber will miss the 2025-2026 season with a torn ACL.
Nikola Topić,Oklahoma City Thunder,"Thu, Oct 30, 2025",Out (Groin) - The Thunder announced that Topic is dealing with testicular cancer and there is no timetable for his return.
Jaylin Williams,Oklahoma City Thunder,"Wed, Dec 17, 2025",Out (Foot) - The Thunder listed Williams as Out on Thursday's (Dec. 18) game against the Clippers.
