Rk,Unnamed: 1,Salary
1,Shai Gilgeous-Alexander,"$38,333,050"
2,Isaiah Hartenstein,"$28,500,000"
3,Luguentz Dort,"$18,222,222"
4,Alex Caruso,"$18,102,000"
5,Chet Holmgren,"$13,731,368"
6,Isaiah Joe,"$12,362,338"
7,Aaron Wiggins,"$10,102,803"
8,Jaylin Williams,"$8,450,704"
9,Kenrich Williams,"$7,163,000"
10,Ousmane Dieng,"$6,670,882"
11,Jalen Williams,"$6,580,997"
12,Cason Wallace,"$5,820,240"
13,Nikola Topić,"$5,182,920"
14,Thomas Sorber,"$4,655,040"
15,Ajay Mitchell,"$3,000,000"
