Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Trp-Dbl,Awards
1.0,Buddy Hield,28.0,71,71,2433,403,992,0.406,282,721,0.391,121,271,0.446,0.548,88,104,0.846,29,305,334,257,63,30,130,175,1176,0,
2.0,Harrison Barnes,28.0,58,58,2102,319,642,0.497,100,256,0.391,219,386,0.567,0.575,195,235,0.83,64,321,385,201,43,11,93,75,933,0,
3.0,De'Aaron Fox,23.0,58,58,2036,529,1110,0.477,103,320,0.322,426,790,0.539,0.523,300,417,0.719,33,170,203,417,87,27,174,170,1461,0,
4.0,Richaun Holmes,27.0,61,61,1782,366,575,0.637,2,11,0.182,364,564,0.645,0.638,135,170,0.794,144,360,504,101,39,96,75,213,869,0,
5.0,Tyrese Haliburton,20.0,58,20,1746,292,619,0.472,121,296,0.409,171,323,0.529,0.569,48,56,0.857,39,134,173,309,77,28,92,83,753,0,ROY-3
6.0,Marvin Bagley III,21.0,43,42,1112,247,490,0.504,37,108,0.343,210,382,0.55,0.542,77,134,0.575,106,212,318,43,21,21,59,100,608,0,
7.0,Cory Joseph,29.0,44,2,944,111,250,0.444,31,94,0.33,80,156,0.513,0.506,36,47,0.766,25,74,99,108,39,9,44,98,289,0,
8.0,Delon Wright,28.0,27,8,696,104,225,0.462,33,83,0.398,71,142,0.5,0.536,30,36,0.833,28,77,105,97,43,11,35,30,271,0,
9.0,Maurice Harkless,27.0,26,20,648,64,152,0.421,18,73,0.247,46,79,0.582,0.48,33,41,0.805,11,65,76,37,28,16,19,72,179,0,
10.0,Terence Davis,23.0,27,0,581,108,246,0.439,54,145,0.372,54,101,0.535,0.549,29,37,0.784,11,77,88,46,27,7,34,49,299,0,
11.0,Hassan Whiteside,31.0,36,4,546,126,224,0.563,0,1,0.0,126,223,0.565,0.563,41,79,0.519,61,154,215,20,9,46,40,73,293,0,
12.0,Chimezie Metu,23.0,36,6,488,91,179,0.508,13,37,0.351,78,142,0.549,0.545,31,43,0.721,31,81,112,28,14,18,29,59,226,0,
13.0,Nemanja Bjelica,32.0,26,1,439,69,150,0.46,17,58,0.293,52,92,0.565,0.517,32,42,0.762,24,76,100,49,8,2,28,48,187,0,
14.0,Glenn Robinson III,27.0,23,2,369,42,99,0.424,16,44,0.364,26,55,0.473,0.505,21,23,0.913,11,34,45,20,4,3,11,23,121,0,
15.0,Damian Jones,25.0,17,4,341,46,70,0.657,1,4,0.25,45,66,0.682,0.664,25,35,0.714,21,56,77,24,9,17,15,36,118,0,
16.0,Justin James,24.0,36,0,310,52,111,0.468,14,38,0.368,38,73,0.521,0.532,21,36,0.583,9,21,30,22,8,3,15,23,139,0,
17.0,Kyle Guy,23.0,31,0,235,29,88,0.33,13,46,0.283,16,42,0.381,0.403,16,20,0.8,5,30,35,32,6,0,11,20,87,0,
18.0,DaQuan Jeffries,23.0,18,2,232,24,57,0.421,9,28,0.321,15,29,0.517,0.5,6,7,0.857,9,20,29,6,7,4,8,23,63,0,
19.0,Jahmi'us Ramsey,19.0,13,0,94,15,38,0.395,5,19,0.263,10,19,0.526,0.461,5,5,1.0,2,8,10,6,4,1,3,8,40,0,
20.0,Louis King,21.0,6,1,85,17,34,0.5,4,11,0.364,13,23,0.565,0.559,6,6,1.0,5,13,18,9,7,3,4,9,44,0,
21.0,Robert Woodard II,21.0,13,0,45,8,20,0.4,1,6,0.167,7,14,0.5,0.425,3,8,0.375,4,12,16,2,0,3,1,4,20,0,
22.0,Jabari Parker,25.0,3,0,27,4,7,0.571,0,1,0.0,4,6,0.667,0.571,0,0,,1,5,6,1,0,1,3,4,8,0,
23.0,Chris Silva,24.0,4,0,9,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,2,2,0,0,1,1,4,2,0,
24.0,Norvel Pelle,27.0,1,0,4,0,1,0.0,0,0,,0,1,0.0,0.0,3,4,0.75,1,0,1,1,0,0,0,1,3,0,
,Team Totals,,72,72,17304,3067,6382,0.481,874,2400,0.364,2193,3982,0.551,0.549,1181,1585,0.745,674,2307,2981,1836,543,358,924,1400,8189,0,
