Rk,Unnamed: 1,Salary
1,Buddy Hield,"$24,701,834"
2,Harrison Barnes,"$22,215,909"
3,Delon Wright,"$9,000,000"
4,Marvin Bagley,"$8,963,640"
5,De'Aaron Fox,"$8,099,627"
6,Jabari Parker,"$6,500,000"
7,Richaun Holmes,"$5,005,350"
8,Tyrese Haliburton,"$3,831,840"
9,Maurice Harkless,"$3,623,000"
10,Mfiondu Kabengele,"$2,075,880"
11,Hassan Whiteside,"$1,620,564"
12,Terence Davis,"$1,517,981"
13,Justin James,"$1,517,981"
14,Chris Silva,"$1,517,981"
15,Robert Woodard,"$1,500,000"
16,Jahmi'us Ramsey,"$1,000,000"
17,Glenn Robinson,"$930,930"
18,Chimezie Metu,"$750,000"
19,Damian Jones,"$459,961"
20,Norvel Pelle,"$99,020"
21,Louis King,$0
22,Kyle Guy,$0
